"quote","attribution"
"Beneide nicht den Adler, weil er fliegen kann, er kann nicht schwimmen wie du.","Xokonoschtletl Gomora, Ansichten eines Wilden über die zivilisierten Menschen, Gfw-Verlag, Heidenheim 1993 , S. 54, ISBN 3-926876-07-7"
"Der Adler fliegt allein, // der Rabe scharenweise, // Gesellschaft braucht der Tor, // und Einsamkeit der Weise.","Friedrich Rückert, Die Weisheit des Brahmanen, Buch 16, I, 5"
"Der Wein wandelt den Maulwurf zum Adler.","Charles Baudelaire, Die künstlichen Paradiese (Les paradis artificiels), III. Kapitel. Übersetzt von Franz Blei und Heinrich Steinitzer. München: Müller, 1925. [1]"
"Mag auch das Auge des Nachtvogels die Sonne nicht sehen, es schaut sie dennoch das Auge des Adlers.","Thomas von Aquin, Kommentar zur Metaphysik des Aristoteles"
"Wer will dem Adler die Bahn vorschreiben, wenn er die Schwingen entfaltet und stürmischen Flugs sich zu den Sternen erhebt?","Georg Büchner, Cato Uticensis. Rede beim Abgang vom Darmstädter Gymnasium (Herbst 1831). In: Georg Büchner's Sämmtliche Werke, Hrsg. Karl Emil Franzos, Sauerländer, Frankfurt am Main 1879, S. 399, DTA"
"Wie dem Adler der Himmel offen steht, so ist dem tüchtigen Mann die ganze Welt das Vaterland.","Euripides, Fragmente"
"Adler fliegen alleine, Schafe gehen in Herden.","Aus China"
"Aus einem Adler wird keine Taube.","Aus Italien"
"Wo ein Adler nicht fort kann, findet eine Fliege noch zehn Wege.","Aus Deutschland"
"Die Knaben werden müde und matt, und die Jünglinge fallen; aber die auf den Herrn harren, kriegen neue Kraft, daß sie auffahren mit Flügeln wie Adler, daß sie laufen und nicht matt werden, daß sie wandeln und nicht müde werden.","Jesaja 40,30+31"
"Wo das Aas ist, da sammeln sich auch die Adler.","Lukas 17,37"
