"quote","attribution"
"Dann ist freilich jeder bange, // Selbst der Affengreis entfleucht, // Wenn die lange Brillenschlange // Zischend von der Palme kreucht.","Wilhelm Busch, Fipps der Affe, Anfang. In: Was beliebt ist auch erlaubt. Wilhelm Busch. Sämtliche Werke II. Herausgegeben von Rolf Hochhuth. 12. Auflage, München, 2008. ISBN 3570030040. S. 325"
"Kaum hat mal einer ein bissel was, // gleich gibt es welche, die ärgert das.","Fipps der Affe, Achtes Kapitel. S. 367"
"Ein junger Affe ist vergleichbar mit dem Lehrling eines Sushimeisters. Der schaut seinem Meister einige Jahre lang  bei der Arbeit zu. Dadurch hat es die Abläufe so verinnerlicht, daß er sie am Tag seiner Feuertaufe selbst ausführen kann. Zu dieser Transferleistung sind auch Affen fähig. Und das ist Kultur.","Frans de Waal, Der Spiegel 33/2002"
"Mit zwanzig Jahren // ist der Mensch ein Pfau, // mit dreißig ein Löwe, // mit vierzig ein Kamel, // mit fünfzig eine Schlange, // mit sechzig ein Hund, // mit siebzig ein Affe, // mit achtzig - nichts.","Baltasar Gracián y Morales, Handorakel und Kunst der Weltklugheit"
"Und gewiss ist es ganz natürlich, dass einem jeden seine eigenen Einfälle zusagen. So findet der Rabe ebenso wie der Affe am eigenen Jungen seinen Gefallen.","Thomas Morus, Utopia"
"Wie ähnlich ist uns der Affe, dieses äußerst scheußliche Tier!","Quintus Ennius, Fragmente"
"Wie glücklich würde sich der Affe schätzen, // Könnt er nur auch ins Lotto setzen!","Johann Wolfgang von Goethe, Faust I, Vers 2400 f. / Mephistopheles"
"Auch ein Affe fällt mal vom Baum.","Aus Japan"
"Auch eine hässlicher Affe kann einen schönen Sprung schaffen.","Aus Venedig"
"Der Affe bleibt immer Affe, auch in Seide gekleidet.","Aus Italien"
"Ein Affe bleibt auch häßlich, wenn er einen goldenen Ring trägt.","Niederländisches Sprichwort"
"Immer bleibt der Affe ein Affe - werd' er selbst König oder Pfaffe.","Aus Deutschland"
"Wenn der Affe zuschaut, pflanze ich keine Erdnüsse.","Aus Afrika, Sprichwort der Tiv"
"Je mehr ein Affe steigt, je mehr Hintern er zeigt.","Aus Deutschland"
"»Geschmackssache«, sagte der Affe, als er in die Seife biss.","Aus Deutschland"
