"quote","attribution"
"Alles hat seine Tiefen. Wer Augen hat, der sieht alles in allem.","Georg Christoph Lichtenberg, Sudelbücher"
"Ärgert dich dein Auge, so reiß es aus, ärgert dich deine Hand, so hau sie ab, ärgert dich deine Zunge, so schneide sie ab, und ärgert dich deine Vernunft, so werde katholisch.","Heinrich Heine an Karl August Varnhagen von Ense, 19. Oktober 1827, HSA Bd. 20, Brief Nr. 235, Seite 302"
"Das Auge hat sein Dasein dem Licht zu danken. Aus gleichgültigen tierischen Hilfsorganen ruft sich das Licht ein Organ hervor, das seinesgleichen werde, und so bildet sich das Auge am Lichte fürs Licht, damit das innere Licht dem äusseren entgegentrete.","Johann Wolfgang von Goethe, Goethes Naturwissenschaftliche Schriften (Kürschner) „Entwurf einer Farbenlehre“, Bd. 3, S. 88"
"Das Licht der Herrlichkeit scheint mitten in der Nacht // Wer kann es sehn? Ein Herz das Augen hat und wacht.","Angelus Silesius, Der cherubinische Wandersmann, Vers  12"
"Das Licht überliefert das Sichtbare dem Auge; das Auge überliefert's dem ganzen Menschen. Das Ohr ist stumm, der Mund ist taub; aber das Auge vernimmt und spricht. In ihm spiegelt sich von außen die Welt, von innen der Mensch. Die Totalität des Innern und Äußern wird durchs Auge vollendet.","– Johann Wolfgang von Goethe, Farbenlehre, Stuttgart (Kohlhammer) 1950-55, Erstausgabe 1810"
"Das unergründliche Geheimnis des menschlichen Auges - woher haben Menschen Augen, die so viel versprechen und so wenig halten?","Richard Benz, Stufen und Wandlungen"
"Dein Auge kann die Welt trüb' oder hell dir machen; // Wie du sie ansiehst, wird sie weinen oder lachen.","Friedrich Rückert, Die Weisheit des Brahmanen, 1. Buch, I. Nr. 31., 2. Auflage. Leipzig: Weidmann'sche Buchhandlung, 1838. S. 29. Google Books "
"Dein Ort ist // wo Augen dich ansehen // Wo sich die Augen treffen // entstehst du","Hilde Domin, Es gibt dich, aus dem Gedichtband Ich will dich - Gedichte, S. 75. 4. Auflage, Frankfurt am Main, 1998. ISBN 3-596-12209-0"
"Denn Augen sind genauere Zeugen als die Ohren.","Heraklit, Fragmente"
"Der Körper ist der Einband des Geistes, das Gesicht der Titel und das Auge der Name des Verfassers.","Johann Wilhelm Ritter, Fragmente aus dem Nachlass eines jungen Physikers"
"Die Augen sind die Lenker in der Liebe.","Properz, Elegien"
"Die erste Tugend eines Bildes ist es, ein Fest für das Auge zu sein.","Eugène Delacroix, Journal de Eugène Delacroix. Avant-propos de Jean-Louis Vaudoyer. Introduction et notes par André Joubin. Paris 1932"
"Die Geistesaugen haben mit den Augen des Leibes in stetem lebendigem Bunde zu wirken.","– Johann Wolfgang Goethe, Schriften zur Botanik und Wissenschaftslehre, dtv-Gesamtausgabe Bd. 39, S. 80"
"Die meisten wissen gar nicht, was sie für ein Tempo haben könnten, wenn sie sich nur einmal den Schlaf aus den Augen rieben.","Christian Morgenstern, Stufen"
"Die Natur des Auges ist es, die Farben zu lieben; aber wenn das Herz nicht heiter ist, so mögen alle fünf Farben vor Augen sein, und man sieht sie nicht.","Lü Bu We, Frühling und Herbst des Lü Bu We, S. 60"
"Dummes Zeug kann man viel reden, // Kann es auch schreiben, // Wird weder Leib noch Seele töten, // Es wird alles beim alten bleiben. //  Dummes aber, vors Auge gestellt, // Hat ein magisches Recht; // Weil es die Sinne gefesselt hält, // Bleibt der Geist ein Knecht.","– Johann Wolfgang von Goethe, Zahme Xenien"
"Ein Auge, das sich nie der Lust des Sehns entbricht: // Wird endlich gar verblendt und sieht sich selbsten nicht.","Angelus Silesius, Der cherubinische Wandersmann, Vers 122"
"Ein graues Auge // ein schlaues Auge; // Auf schelmische Launen // Deuten die braunen; // Des Auges Bläue // Bedeutet Treue; // Doch eines schwarzen Augs Gefunkel // Ist stets, wie Gottes Wege, dunkel!","Friedrich von Bodenstedt, Tausend und Ein Tag im Orient. Zweiter Band. Berlin 1865. Seite 56."
"Eine Krähe kratzt der anderen kein Auge aus.","Martin Luther – wörtlich : Es beisst kein Krawe der andern die Augen ausz.[1]"
"Er ist euer Augapfel gewesen bisher; nun aber ärgert dich dein Auge, sagt die Schrift, so reiß es aus. Es ist besser, einäugig gen Himmel als mit zwei Augen in die Hölle.","Friedrich Schiller, Die Räuber, I, 1 / Franz Moor"
"Es gibt Männer, die die Beredsamkeit weiblicher Zungen übertreffen. Aber kein Mann übertrifft die Beredsamkeit weiblicher Augen.","Karl Julius Weber, Demokritos oder hinterlassene Papiere eines lachenden Philosophen. 3. Band, 8. Ausgabe. Stuttgart: Scheible, Rieger und Sattler, 1843. S. 83. Google Books"
"Farbenpracht blendet das Auge.","Laotse, Dao-de-dsching, Kapitel 12"
"Fast immer sind die Gedanken schneller als die Augen und verfälschen das Bild.","Marlen Haushofer, Die Wand. 2. Auflage. [Hamburg & Düsseldorf]: Claassen, 1968. S. 210"
"Herr! die Schönheit dieser Erde, // Gib, dass sie die Sehkraft wecke // Meines Auges, nicht ihm werde // Eine Blindheits-Zauberdecke."," Friedrich Rückert, Lyrische Gedichte, Drittes Buch, Liebesfrühling, Dritter Strauss - Gemieden"
"Himmlischer, als jene blitzenden Sterne, dünken uns die unendlichen Augen, die die Nacht in uns geöffnet.","Novalis, Hymnen an die Nacht"
"Ein dem zu sehenden Gegenstand verwandt und ähnlich gemachtes Auge muss man zum Sehen mitbringen. Nie hätte das Auge jemals die Sonne gesehen, wenn es nicht selber sonnenhaft wäre; so kann auch die Seele das Schöne nicht sehen, wenn sie nicht selbst schön ist.","Plotin, Enneaden"
"Ihr glücklichen Augen, // Was je ihr gesehn, // Es sei wie es wolle, // Es war doch so schön!","Johann Wolfgang von Goethe, Faust II, Vers 11300 ff. / Lynkeus der Türmer"
"Im eignen Auge schaue mit Lust, // Was Plato von Anbeginn gewusst; // Denn das ist der Natur Gehalt, // Dass außen gilt, was innen galt.","– Johann Wolfgang von Goethe, Zahme Xenien"
