"quote","attribution"
"Das Auto hat bei den Deutschen an Erotik eingebüßt.","Peter Kruse, Der Autokult kommt unter die Räder. In: Handelsblatt 3. März 2009, S. 16,  nextpractice.de"
"In den USA [...] verbringt ein durchschnittlicher Amerikaner volle zehn Jahre seines Lebens im Auto. Das ist doch eine unglaubliche Lebenszeit-Vergeudung!","Hadi Teherani, EnBW - das magazin Nr. 01/08, S. 06"
"Meine beiden ersten Autos waren Enten, beide hellblau. Das Wunderbare war: Sogar mit meinem technischen Verstand konnte ich fast alles reparieren, was kaputtging. Der Nachteil: Ich brauchte diese Kenntnisse jedes Wochenende.","Frank-Walter Steinmeier, Stern Nr. 12/2009 vom 12. März 2009, S. 44"
"Wäre es ohne diese ewigen Krisen gegangen, müsste ich in meinen Jahren, um bürgerlich reputierlich dazustehen, ein Auto aufweisen können, ein Weekendhaus und Perserbrücken, was mir aber schlechthin nie möglich gewesen wäre zu beschaffen bei meiner Facon, Geld in die linke Westentasche einzunehmen und aus der rechten sofort wieder auszugeben.","Gottfried Benn, über seinen finanziellen Ruin während der inneren Emigration und des Publikationsverbotes in der Nazizeit, Brief an den Kaufmann Oelze vom 19. Januar 1949, zitiert in: »Gottfried Benn - Gedichte in der Fassung der Erstdrucke.« S. 610. Frankfurt am Main, 2006. ISBN 3596171490"
"Aus Liebe zum Automobil.","Werbespruch, VW, 2003"
"Die Beine Ihres Autos.","Werbespruch, Pirelli"
"Er läuft und läuft und läuft und läuft und läuft …","Werbespruch für den „Käfer“, Volkswagen"
"Freude am Fahren.","Werbespruch, BMW"
"Leidenschaft ist unser Antrieb.","Werbespruch, FIAT"
"Mehr Automobil.","Werbespruch, Peugeot, 2005"
"Nichts bewegt Sie wie ein Citroën.","Werbespruch, Citroën"
"Vorsprung durch Technik.","Werbespruch, Audi"
"Für Männer mit Benzin im Blut.","Werbespruch, Alfa Romeo"
