"quote","attribution"
"Der eine spart, der andere braucht Geld, das er noch nicht hat. Das muss organisiert werden. Das nennt man Bank. So einfach ist das.","Wolfgang Schäuble, Stern Nr. 48/2008 vom 20. November 2008, S. 53"
"Ich habe Josef Ackermann einmal gefragt, [...], warum er als reicher Mann überhaupt 14 Millionen verdienen müsse, warum es nicht auch sieben oder neun Millionen täten. Er brauche das Geld gar nicht, hat er geantwortet, er lebe bescheiden [...], aber die ehrgeizigen jungen Leute in der Bank verlören ihre Motivation und den Respekt vor ihm, wenn er nicht nähme, was möglich sei.","Hans-Ulrich Jörges, über Josef Ackermann, Stern Nr. 44/2008 vom 23. Oktober 2008, S. 60"
"Ich kann mich noch gut an die Zeiten erinnern, als in den Banken die Gangster VOR den Schaltern standen","Rene Zeyer: Bank, Banker, Bankrott, Storys aus der Welt der Abzocker - Zürich: Orell Füssli, 2009 - ISBN 978-3-280-05341-6 - Nachwort S. 185"
"Nicht alle Deutschen glauben an Gott, aber alle glauben an die Bundesbank.","Jacques Delors, zitiert auf www.bundesbank.de (Stand 09/07)"
"Wenn vierundzwanzig Leute eine Bank leiten wollen, dann ist das wie mit einem Mädchen, das vierundzwanzig Freier hat. Es heiratet sie keiner. Aber am Ende hat sie ein Kind!","Georg von Siemens, bankgeschichte.de"
"Auf dieser Bank von Stein will ich mich setzen.","Friedrich Schiller, Wilhelm Tell IV,3 / Tell"
"Die Amerikaner haben Country, wir haben Volksmusik. Sie ist die Parkbank für die menschliche Seele.","Thomas M. Stein, Stern Nr. 10/2007 vom 1. März 2007, S. 186"
"Sie müssen sich diesen Beruf so vorstellen: Sie sitzen auf einer Bank im Park und vergiften, wie üblich, die Tauben, da setzt sich eine junge Frau mit ihrem Kind neben Sie. Und Sie sagen: Junge Frau, so ein extrem hässliches Kind wie Ihres habe ich noch nie gesehen! - Das ist die Tragik meines Berufes, sie müssen den Leuten die Wahrheit sagen. Das ist nicht immer leicht.","Wolfram Siebeck, über seinen Beruf als Restaurant-Kritiker, Stern Nr. 14/2008 vom 27. März 2008, S. 126"
"Der eine spart, der andere braucht Geld, das er noch nicht hat. Das muss organisiert werden. Das nennt man Bank. So einfach ist das.","Wolfgang Schäuble, Stern Nr. 48/2008 vom 20. November 2008, S. 53"
"Ich habe Josef Ackermann einmal gefragt, [...], warum er als reicher Mann überhaupt 14 Millionen verdienen müsse, warum es nicht auch sieben oder neun Millionen täten. Er brauche das Geld gar nicht, hat er geantwortet, er lebe bescheiden [...], aber die ehrgeizigen jungen Leute in der Bank verlören ihre Motivation und den Respekt vor ihm, wenn er nicht nähme, was möglich sei.","Hans-Ulrich Jörges, über Josef Ackermann, Stern Nr. 44/2008 vom 23. Oktober 2008, S. 60"
"Ich kann mich noch gut an die Zeiten erinnern, als in den Banken die Gangster VOR den Schaltern standen","Rene Zeyer: Bank, Banker, Bankrott, Storys aus der Welt der Abzocker - Zürich: Orell Füssli, 2009 - ISBN 978-3-280-05341-6 - Nachwort S. 185"
"Nicht alle Deutschen glauben an Gott, aber alle glauben an die Bundesbank.","Jacques Delors, zitiert auf www.bundesbank.de (Stand 09/07)"
"Wenn vierundzwanzig Leute eine Bank leiten wollen, dann ist das wie mit einem Mädchen, das vierundzwanzig Freier hat. Es heiratet sie keiner. Aber am Ende hat sie ein Kind!","Georg von Siemens, bankgeschichte.de"
"Auf dieser Bank von Stein will ich mich setzen.","Friedrich Schiller, Wilhelm Tell IV,3 / Tell"
"Die Amerikaner haben Country, wir haben Volksmusik. Sie ist die Parkbank für die menschliche Seele.","Thomas M. Stein, Stern Nr. 10/2007 vom 1. März 2007, S. 186"
"Sie müssen sich diesen Beruf so vorstellen: Sie sitzen auf einer Bank im Park und vergiften, wie üblich, die Tauben, da setzt sich eine junge Frau mit ihrem Kind neben Sie. Und Sie sagen: Junge Frau, so ein extrem hässliches Kind wie Ihres habe ich noch nie gesehen! - Das ist die Tragik meines Berufes, sie müssen den Leuten die Wahrheit sagen. Das ist nicht immer leicht.","Wolfram Siebeck, über seinen Beruf als Restaurant-Kritiker, Stern Nr. 14/2008 vom 27. März 2008, S. 126"
"Ein guter Hintern findet selbst eine Bank für sich.","Aus Estland"
