"quote","attribution"
"[Auf dem Lande] steht man so früh auf, weil man so viel zu tun hat, und legt sich so früh zu Bett, weil man so wenig zu denken hat.","Oscar Wilde, Das Bildnis des Dorian Gray, Kapitel 15 / Lady Narborough"
"Bücher und Dirnen kann man ins Bett nehmen.","Walter Benjamin, Einbahnstrasse. Darin: Nr. 13"
"Es gibt Tage, wo das Leben übertrieben flau ist. Zu Bett gehen; weiter hilft nichts mehr.","Heinrich Mann, Der Unbekannte"
"Es interessiert mich nicht, Leute im Bett beim Sex zu sehen. Ich finde das einfach krank. Und ich hätte sowas nicht mal mit 25 gedreht, wenn meine Karriere davon abgehangen hätte.","Doris Day, OK!Magazin 1996, zitiert bei funkin.net"
"Es ist eine traurige Liebe, wo ma zum ersten Mal im Grab miteinander zu Betten geht.","Georg Christoph Lichtenberg, Aphorismen – Essays – Briefe, Dieterich’sche Verlagsbuchhandlung zu Leipzig (1965), Seite 119"
"Früher habe ich mit Drogen und anderen schlimmen Sachen vollgepumpt. Heute gehe ich lieber mit einem schönen Mädchen ins Bett.","Mick Jagger, Stern Nr. 13/1983, S. 5"
"Generell gilt: Was Paare zu Hause miteinander anstellen, egal, ob im Bett oder auf dem Küchenboden, ist in Ordnung.","Ruth Westheimer, Stern Nr. 25/2008 vom 12. Juni 2008, S. 154"
"Vieles, was bei Tisch geschmacklos ist, ist im Bett eine Würze. Und umgekehrt. Die meisten Verbindungen sind darum so unglücklich, weil diese Trennung von Tisch und Bett nicht vorgenommen wird.","Karl Kraus, Fackel 445/453 9; Nachts"
"Wenn Regierungen krank sind, müssen die Völker das Bett hüten.","Ludwig Börne, Der Narr im weißen Schwan"
"Wer nicht weiß was im Bett zu liegen heißt // mit einem jungen schönen Mädchen, // so ein Dickerchen rund und butterweich, // weiß nicht was wahre Freude ist.","Giorgio Baffo, aus Poesie, Seite 156"
"Wer nie sein Brot mit Tränen aß, // Wer nie die kummervollen Nächte // Auf seinem Bette weinend saß, // Der kennt euch nicht, ihr himmlischen Mächte.","Johann Wolfgang von Goethe, Wilhelm Meisters Lehrjahre 2, 13"
"Wohl dem, der in Fried und Freundschaft lebt mit seinem Gewissen, mit seinem Magen, und mit seinem Bette.","Nikolai Abramowitsch Putjatin, Worte aus dem Buche der Bücher, hrsg. von A.W. Tappe, Dresden 1824, S. 49"
"Zu Ikea rückt man vorzugsweise paarweise an, um den Anblick der tausend anderen jungen Paare besser zu ertragen, die wahrscheinlich verliebt bis über beide Ohren über die notwendige Matratzengröße debattieren und darüber, ob sie nun das Bett Gutvik kaufen sollen oder doch eher den Narvik.","Florian Illies, Generation Golf. Eine Inspektion. Argon Verlag, Berlin, 2000. S. 110f. ISBN 3-87024-512-3"
