"quote","attribution"
"Bier treibt auf Urin.","Georg Wilhelm Friedrich Hegel, Enzyklopädie der philosophischen Wissenschaften II, § 365, S. 488"
"Die erste Pflicht der Musensöhne // Ist, daß man sich ans Bier gewöhne.","Wilhelm Busch, Bilder zur Jobsiade"
"Einfach gelobt sei der Wein, doppelt gelobt das Bier. // Doppeltheit ist gut, Einfachheit das Beste.","John Owen, Epigramme 6, 68"
"Es wird bei uns Deutschen mit wenig so viel Zeit totgeschlagen, wie mit Bier trinken.","Otto von Bismarck, Rede im Deutschen Reichstag, 28. März 1881. zitiert in: Klaus Emmerich: Ach, diese Deutschen. Eine Nation auf der Suche nach ihrer 4. Identität. Böhlau, 2000. ISBN 9783205992431. S. 24."
"In allen Bereichen haben wir zunehmend das Ding ohne sein Wesen. Wir haben Bier ohne Alkohol, Fleisch ohne Fett, Kaffee ohne Koffein - und sogar virtuellen Sex ohne Sex.","Slavoj Žižek, Der Krieg und das fehlende ontologische Zentrum der Politik, novo-magazin, Heft 55/56, November 2001 - Februar 2002, novo-magazin.de"
"Wer Bier trinkt lebt hundert Jahre.","Aus Italien"
"Wo man Bier braut, da lässt sich´s gut leben!","Aus Tschechien"
"Beck´s löscht Männerdurst","Werbespruch für Beck's in den 50er Jahren"
"Bitte ein Bit",", Bitburger"
"Das Flenst!",", Flensburger Brauerei"
"Das Glanzlicht bayerischer Braukunst","Wolferstetter Bräu Vilshofen"
"Das ist mein Bier.","Luzerner Bier"
"Das König der Biere.",",König-Brauerei"
"Drei Flüsse, zwei Löwen, ein Bier!","Löwenbrauerei Passau"
"Es muss ein Stiegl sein",", Stieglbrauerei zu Salzburg"
"Genuß für Leib & Seele",", Klosterbrauerei Andechs"
"Gut, besser, Paulaner",", Paulaner Brauerei"
"Gut. Besser. Gösser","Gösser"
"Heute ein König",",König-Brauerei"
"Hopfen und Malz erleichtern die Balz",", Hofbräuhaus Traunstein"
"Intenational ehr unbedeutend, national ehr zweitrangig, regional der Hammer!- Faust, das bleibt unter uns.","Faust Brauerei Miltenberg"
"Lass dir raten, trinke Spaten",", Spatenbräu München - www.spatenbraeu.de"
"Lößnitz Pils so spricht die Sage, schmeckt in der Nacht und auch am Tage","Lößnitz Pils (Coswig)"
"Männer wie wir, Wickühler Bier",", Wicküler-Brauerei"
"Merke Dir - Sternburg Bier",", Sternburg"
"Miteindander lustig samma, mia und unser Puntigamer","Puntigamer Bier"
"My home is my Egger",", Egger Brauerei (Österreich)"
">Schwechater< >Recht hatter!<",", Schwechater Brauerei (Österreich)"
"Ur Königlich,Ur Krostitz","Ur-Krostitzer"
"Wer zu Früh kommt bleibt!",", Cölner Hofbräu Früh Köln"
"Wie das Land, so das Jever",", Jever Bier"
"Zwei Worte - ein Bier.","Werbespruch, Bierwerbung, 1960er"
