"quote","attribution"
"Aber die Sonne duldet kein Weißes, // Überall regt sich Bildung und Streben, // Alles will sie mit Farben beleben; // Doch an Blumen fehlts im Revier, // Sie nimmt geputzte Menschen dafür.","Johann Wolfgang von Goethe, Faust I, Vers 911 ff. / Faust - Osterspaziergang"
"Alle meine Freuden sind wie Sumpfblumen, die man nicht anders brechen kann, als wenn man bis an die Knie im Sumpf fällt.","Sophie Mereau, Betrachtungen"
"Aus derselben Ackerkrume // Wächst das Unkraut wie die Blume // Und das Unkraut macht sich breit.","Friedrich von Bodenstedt, Vates. Sinngedichte und Sprüche. Aus: Gesammelte Schriften. 9. Band. Berlin: Decker, 1867. S. 44. Google Books"
"Das wahre Glück des Menschen ist eine zarte Blume; tausenderlei Ungeziefer umschwirret sie; ein unreiner Hauch tödtet sie.","Jeremias Gotthelf, Geld und Geist oder die Versöhnung. Aus: Bilder und Sagen aus der Schweiz. 2. Bändchen. Solothurn: Jent & Gaßmann, 1843. S. 3. Google Books"
"Die Blume ist das Lächeln der Pflanze.","Peter Hille, Büchlein der Narrheit. In: Gestalten und Aphorismen, Gesammelte Werke, Zweiter Band, Schuster & Loeffler, Berlin und Leipzig 1904, S. 190, Internet Archive"
"Die Blume verblüht, die Frucht muss treiben.","Friedrich Schiller, Das Lied von der Glocke"
"Die Blumen des Frühlings sind die Träume des Winters.","Khalil Gibran, Sand und Schaum, Sand and Foam, 1926, ISBN 3-5301-0018-8"
"Die Farbe ist die letzte Kunst und die uns noch immer mystisch ist und bleiben muss, die wir auf eine wunderlich ahnende Weise wieder nur in den Blumen verstehen.","Philipp Otto Runge, an Johann Daniel Runge, 7. November 1802"
"Dieser Spalt ist eine meiner Zeichnungen. Dieser Riß ist etwas Lebendiges. Er vergrößert sich, er verändert sich jeden Tag wie eine Blume. Er ist durch etwas entstanden, was niemand von uns wirklich versteht: die unglaubliche Kraft der Natur.","Wols, in einem Gespräch, nachdem er auf einen Riß im Gehsteig zeigte, in: Jürgen Claus, Theorien zeitgenössischer Malerei, Rowohlt Taschenbuch Verlag, Reinbek bei Hamburg 1963, S.112'"
"Düfte sind die Gefühle der Blumen.","Heinrich Heine, Die Harzreise"
"Düfte sind wie die Seele der Blumen, man kann sie fühlen selbst im Reich der Schatten.","Joseph Joubert, Gedanken, Versuche und Maximen"
"Er sah nichts als die blaue Blume, und betrachtete sie lange mit unnennbarer Zärtlichkeit.","Novalis, Heinrich von Ofterdingen"
"Es gibt eine schöne Offenheit, die sich öffnet wie eine Blume: Nur um zu duften.","Friedrich Schlegel, Ideen"
"Es ist ein Schnitter, der heißt Tod, // Er mäht das Korn, wenn's Gott gebot; // Schon wetzt er die Sense, // Daß schneidend sie glänze, // Bald wird er dich schneiden, // Du mußt es nur leiden; // Mußt in den Erntekranz hinein, // Hüte dich schöns Blümelein!","Clemens Brentano, Erntelied"
"Hör zu, Maler, mal mir eine Frau // ohne Hemd, wie Gott sie schuf, // blonde Haare, der Zopf gelöst, // mit einem frechen Blümchen auf dem Kopf.","Giorgio Baffo, aus Poesie, Seite 123"
"Irgendwo blüht die Blume des Abschieds und streut // immerfort Blütenstaub, den wir atmen, herüber; // auch noch im kommendsten Wind atmen wir Abschied.","Rainer Maria Rilke, Sämtliche Werke, Band 2, Gedichte, Insel-Verlag, 1955, S. 502, books.google.de"
"Lieb ist ein Siechtum, von Gott geschickt, // Das keine Arznei je bessert; // Ein Blümlein, das aufblüht, wenn mans knickt, // Und abstirbt, wenn mans wässert.","Samuel Daniel, übersetzt von Flatter, in: Lyrik des Abendlandes, Hanser Verlag, München 1963, ISBN 3-446-12487-x, S.231"
"Und gibt es eine bessere Farbe als Blau? Wählte sich nicht auch das Himmelsgewölbe blaue Seide zur Hülle? Wer blau ist wie der Himmel, bei dem sitzt die Sonne zu Gast. Dem Heliotrop gleicht er, der blauen Blume, welche die Inder »Sonnenanbeterin« heißen, weil sie ihr Antlitz immer der Sonne zugewandt hält. Sie verbirgt in der blauen Blüte ein Herz von Gold, das vom Himmelsfeuer ein Abglanz auf Erden ist.","Nezāmī, Die sieben Geschichten der sieben Prinzessinnen, in der türkisblauen Merkurkuppel (verdeutscht von Rudolf Gelpke)"
"Willkommen, liebe Sommerzeit, // Willkommen, schöner Mai, // Der Blumen auf den Anger streut // Und alles machet neu.","Ludwig Christoph Heinrich Hölty, Mailied"
"Wenn die Blätter fallen, wirst du // Zum Kirchhof kommen, mein Kreuz zu suchen, // In einer kleinen Ecke wirst du es finden // Und dort werden viele Blumen wachsen.","Lorenzo Stecchetti, aus Postuma, XIV."
"Wenn ich ein paar Spiele verliere, lassen die Leute an den Blumen, die sie mir zuwerfen, plötzlich die Töpfe dran.","Otto Rehhagel, über das Leben als Fußballtrainer, Stuttgarter Zeitung Nr. 184/2008 vom 8. August 2008, S. 34"
"Ein Verliebter betrachtet eine Blume mit anderen Augen als ein Kamel.","Aus Ägypten"
"Nicht sagen ist eine Blume.","Aus Japan"
