"quote","attribution"
"Ach, es ist doch ein saures Stück Brot, das Philosophieprofessorenbrot!","Arthur Schopenhauer, Einige Worte über den Pantheismus"
"Als der Krieg aus war, kam der Soldat nach Hause. Aber er hatte kein Brot. Da sah er einen, der hatte Brot. Den schlug er tot. // Du darfst doch keinen totschlagen, sagte der Richter. // Warum nicht, fragte der Soldat.","Wolfgang Borchert, „Lesebuchgeschichten“, in: „Draußen vor der Tür“, ISBN 3-499-10170-X, 1956, S. 82"
"Bet und arbeit! ruft die Welt, // Bete kurz! denn Zeit ist Geld. // An die Türe pocht die Not - // Bete kurz! denn Zeit ist Brot.","Georg Herwegh, Bundeslied für den Allgemeinen deutschen Arbeiterverein"
"Brot und Spiele.","Juvenal, Satiren, X, 81"
"Das Problem [...] ist die öffentliche Wahrnehmung, was man als Grüne tun darf und was nicht. Ökobrot backen ist okay, in der Wirtschaft tätig zu sein nicht.","Andrea Fischer, über die Partei Bündnis 90/Die Grünen, Stern Nr. 27/2008 vom 26. Juni 2008, S. 134; gemeint ist auch Fischers Tätigkeit als Unternehmensberaterin"
"Der Fisch, der einmal vom Haken verletzt wurde, vermutet Haken in jedem Brot.","Ovid, Ex Ponto (Briefe aus der Verbannung) II, Brief VII (an Atticus) 9"
"Der Papst ist der Papst und du bist ein Schurke, // der sich von anderer Leute Brot und Lästerei ernährt; // du hast einen Fuß im Bordell und den anderen im Krankenhaus, // du ignoranter und arroganter Krüppel. ","Francesco Berni, aus XXXII. Contra Pietro Aretino"
"Die blaue Kornblum wohnt versteckt, // So hab ich meinen Schatz entdeckt. // Sie kann nicht meinen Händen wehren, // Wiegt sie wie's Sommerfeld die Ähren. // Die Ähren sind jetzt körnerschwer, // Als läg schon Brot mannshoch umher, // […] Mein Schatz die Ähren streicheln tut. // »Nach Leben riechen sie so gut.«","Max Dauthendey, Gesammelte Werke in 6 Bänden, Bd. 4: Lyrik und kleinere Versdichtungen, München: Albert Langen, 1925. S. 151"
"Mit demselben Gefühle, mit welchem du bei dem Abendmahle das Brot nimmst aus der Hand des Priesters, mit demselben Gefühle, sage ich, erwürgt der Mexikaner seinen Bruder vor dem Altare seines Götzen.","Heinrich von Kleist, An Wilhelmine von Zenge, 13.-18. September 1800"
"Sind auch schwarz des Bauern Hände, // Weißbrod ißt er bis an's Ende;","Wilhelm Gerhard, Des Mädchens Wahl. In: Wila, Serbische Volkslieder und Heldenmährchen, Erste Abtheilung, Verlag von Joh. Ambr. Barth, Leipzig 1828, S. 112, Google Books"
"Viel Steine gab's und wenig Brod.","Johann Ludwig Uhland, Schwäbische Kunde. Aus: Gedichte. Wohlfeile Ausgabe. 3. Auflage. Stuttgart und Tübingen: Cotta, 1854. S. 327"
"Wenn es kein Brot gibt für alle, macht man keine Kinder mehr, und die Nation verreckt!","Émile Zola, Die Erde. Übersetzt von Hans Balzer. Berlin: Rütten & Loening, 1973. S. 164"
"Wer nie sein Brot mit Tränen aß, // Wer nie die kummervollen Nächte // Auf seinem Bette weinend saß, // Der kennt euch nicht, ihr himmlischen Mächte.","Johann Wolfgang von Goethe, Wilhelm Meisters Lehrjahre 2, 13"
"Alle Dinge lassen sich sagen, und Käse und Brot lassen sich essen.","Aus den Niederlanden"
"Besser eignes Brot als fremder Braten.","Aus Deutschland"
"Des einen Tod, des anderen Brot.","Aus Deutschland"
"Eile backt das Brot, aber sie backt es schlecht.","Aus Griechenland"
"Gegessenes Brot ist schwer zu verdienen.","Aus Polen"
"Hartes Brot verlangt scharfe Zähne.","Aus Frankreich"
"In der Not isst der Bauer die Wurst auch ohne Brot.","Aus Deutschland"
"Iss viel Brot, trink wenig Wein!","Aus Frankreich"
"Trocken Brot macht Wangen rot.","- Aus Deutschland"
"Wes' Brot ich ess', des' Lied ich sing'.","Aus Deutschland"
"Wer Brot hat, stirbt nicht vor Hunger.","Aus den Niederlanden"
"Ein Bier in der Not ist ein ganzer Laib Brot","Aus Österreich"
"Altes Brot ist nicht hart, kein Brot, das ist hart.","Aus Deutschland"
"Der aber Samen gibt dem Sämann und Brot zur Speise, der wird auch euch Samen geben und ihn mehren und wachsen lassen die Früchte eurer Gerechtigkeit.","2. Korinther 9,10"
"Der Mensch lebt nicht nur von Brot, sondern von jedem Wort, das aus Gottes Mund kommt.","Matthäus 4,4 EU"
"Gehe hin zur Ameise, du Fauler; siehe ihre Weise an und lerne! Ob sie wohl keinen Fürsten noch Hauptmann noch Herrn hat, bereitet sie doch ihr Brot im Sommer und sammelt ihre Speise in der Ernte.","Sprüche 6,6-8 Luther 1912"
"Ich bin das lebendige Brot, das vom Himmel gekommen ist. Wer von diesem Brot isst, wird leben in Ewigkeit. Das Und dieses Brot ist mein Fleisch, das ich geben werde für das Leben der Welt.","Johannes 6,51 Luther"
"Im Schweiße deines Angesichtes sollst du dein Brot essen, bis dass du wieder zur Erde kehrst, von der du genommen bist; denn du bist Staub und kehrst wieder zum Staub zurück.","Genesis 3,19 Schlachter 1951"
"Wollte Gott, wir wären in Ägypten gestorben durch des Herrn Hand, da wir bei den Fleischtöpfen saßen und hatten die Fülle Brot zu essen!","Exodus 16,3 Luther 1912"
"Wer gering ist und geht seiner Arbeit nach, ist besser als einer, der groß sein will und an Brot Mangel hat.","Sprüche 12,9"
"Iß dein Brot mit Freuden, trink deinen Wein mit gutem Mut; denn dies Tun hat Gott schon längst gefallen.","Der Prediger Salomon 9,7"
