"quote","attribution"
"Alle historischen Bücher, die keine Lügen enthalten, sind schrecklich langweilig.","Anatole France, Die Schuld des Professors Bonnard"
"Bücher bewegen mich, sie sind es, die Stimmungen in mir erzeugen können. Sie können mich aus einer fröhlichen und unbeschwerten in eine nachdenkliche, aus einer ängstlichen in eine zuversichtliche Stimmung versetzen.","Julia Franck, Alverde, Ausgabe Juli 2008, S. 42"
"Bücher denken für mich.","Charles Lamb, Essays"
"Bücher, die wir zu unseren Freunden machen, werden uns nie zum Ekel. Sie nützen sich durch den Gebrauch nicht ab.","Ludwig Feuerbach, Der Schriftsteller und der Mensch. In: Sämmtliche Werke. 1. Band. Stuttgart: Frommann, 1903. S. 268. Google Books-USA*"
"Bücher, ihr seid goldene Behälter, gefüllt mit Manna; Felsen, aus denen Honig sprudelt; Euter strotzend von der Milch des Lebens, unerschöpfliche Vorratskammern; der viergeteilte Strom des Paradieses, der die menschliche Seele labt und der durstigen Geist netzt und tränkt; fruchtbeladene Oliven, Wein von Engaddi, Feigenbäume, die keine Missernte kennen; brennende Lampen, immer in den Händen zu tragen.","Richard Aungerville, 1344, Philobiblon"
"Bücher können schmerzen, können heilen und verletzten, können anleiten und befreien. Bücher werden indiziert, verbrannt, verboten und weggesperrt.","Erich Klein, „Bücher - Das Ende der Gutenberg-Galaxis?“, In: Diagonal - Radio für Zeitgenoss/innen. Herausgeber (ORF-Ö1), 09.03.2012."
"Bücher sind Wahrheiten inmitten von Lügen.","Stephen King, Es, Ullstein Verlag 2005, Widmung"
"Bücher und Dirnen kann man ins Bett nehmen.","Walter Benjamin, Einbahnstraße, Rowohlt, Berlin 1928, NR. 13, I. S. 36"
"Das beste Buch ist das, welches dem Leser seinen eigenen Reichtum fühlbar macht.","Waldemar Bonsels, Menschenwege"
"Das Buch, das in der Welt am ersten verboten zu werden verdiente, wäre ein Katalogus von verbotenen Büchern.","Georg Christoph Lichtenberg, Sudelbücher"
"Das Gräslein ist ein Buch, suchst du es aufzuschließen, du kannst die Schöpfung draus und alle Weisheit wissen.","Daniel Czepko von Reigersfeld, Monodisticha Sapientium"
