"quote","attribution"
"Das weiß ein jeder, wer's auch sei, // gesund und stärkend ist das Ei.","Wilhelm Busch, Der Geburtstag"
"Eine Eieruhr […] besteht aus einem Ei. Du nimmst das Ei und kochst es. Wenn es hart ist, sind fünf Minuten um. Dann weißt du, dass die Zeit vergangen ist.","Hannes Hüttner, Das Blaue vom Himmel. Reutlingen, 1980, ISBN 3-770-90382-X"
"Einesteils der Eier wegen, welche diese Tiere legen.","Wilhelm Busch, Max und Moritz, 1865"
"Rührei konnte ich schon mit elf, das mach ich mit abgehackten Beinen und Armen, das kann jeder Penner!","Tim Raue, Stern Nr. 22/2008 vom 21. Mai 2008, S. 128"
"Sorge dich nicht um ungelegte Eier.","Martin Luther – wörtlich:  Sorgest fur ungelegte eyer. Im Sinne, dass ungelegte Eier gut aufgehoben sind  und keines besonderen Schutzes bedürfen. [1]"
"Wenn ich um jedes Ei // so kakelte, // mirakelte, // spektakelte, // was gäb's für ein Geschrei.","Heinrich Seidel. Das Huhn und der Karpfen, in: GLOCKENSPIEL. Gesammelte Gedichte (Band VII der Gesammelten Schriften von Heinrich Seidel: A.G. Liebeskind, Leipzig 1897. V. Humor, Burleske und Satire."
"Wer Steine und Eier verpackt, soll die Steine nach unten legen.","Wilhelm Busch, Der Schmetterling. In: Und die Moral von der Geschicht. Wilhelm Busch. Sämtliche Werke I. Herausgegeben von Rolf Hochhuth. 12. Auflage, München, 2008. ISBN 3570030040. S. 994. http://www.zeno.org/nid/20004614313"
"Aus ungelegten Eiern schlüpfen keine Hühner.","Aus Deutschland"
"Das Ei will klüger sein als die Henne.","Aus Deutschland"
"Ein halbes Ei ist besser als eine leere Schale.","Niederländisches Sprichwort"
"Er ist noch nicht aus dem Ei geschlüpft.","Aus Griechenland"
"Hat die Henne ein Ei gelegt, so gackert sie.","Aus Italien"
"Lege nicht alle Eier in einen (einzigen) Korb.","Aus England"
"Wer ein Ei stiehlt, wird auch ein Pferd  stehlen.","Aus Armenien"
"Ist das Ei faul, hilft alles Brüten nichts.","Aus Deutschland"
