"quote","attribution"
"Allein zu essen ist für einen philosophierenden Gelehrten ungesund.","Immanuel Kant, Anthropologie in pragmatischer Hinsicht"
"Auch denken heute viele, Viagra sei ein Allheilmittel. Wenn ein Mann mit einer Erektion vom Boden bis zur Decke nach Hause kommt, zuvor aber nie das Geschirr abgewaschen, immer ihren Geburtstag vergessen und sie nie zum Essen ausgeführt hat, dann wird diese Frau ihm schon sagen, wohin er sich seine Erektion stecken kann. Die zwischenmenschliche Beziehung muss stimmen, wenn der sexuelle Verkehr klappen soll.","Ruth Westheimer, auf die Frage, ob sie eine Freundin von Viagra sei, Stern Nr. 25/2008 vom 12. Juni 2008, S. 154"
"Auch unser edles Sauerkraut, // Wir sollen's nicht vergessen; // Ein Deutscher hat's zuerst gebaut, // Drum ist's ein deutsches Essen.","Ludwig Uhland, Metzelsuppenlied. Aus: Gedichte. Wohlfeile Ausgabe. 3. Auflage. Stuttgart und Tübingen: Cotta, 1854. S. 65"
"Beim Essen ist Musik ein guter Prüfstein - // Denn ist das Essen gut, so hört man die // Musik nicht!","Christian Dietrich Grabbe, Don Juan und Faust, IV, 4 / Don Juan. Zitiert nach: Don Juan und Faust. Eine Tragödie in vier Akten. Druck und Verlag von Philipp Reclam jun., Leipzig 1871, S. 96, Google Books"
"Der Appetit kommt beim Essen; der Durst schwindet beim Trinken.","François Rabelais, Gargantua 1, Kap. 5"
"Die Entdeckung eines neuen Gerichtes macht die Menschheit glücklicher als die Entdeckung eines neuen Sterns.","Jean Anthelme Brillat-Savarin, Physiologie des Geschmacks"
"[...] Dieses Gericht macht Bologna Ehre, // Nicht ohne Grund als die Fette bekannt, // Den Menschen liebkost es, trocknet die Zähre, // Gibt Kraft seinen Muskeln wie seinem Verstand, // Und schenkt die Gelassenheit ihm des Weisen, // Schmeckt, nährt und tröstet, daheim wie auf Reisen.","Lorenzo Stecchetti, Sonett über Tagliatelle mit Schinken. Nachdichtung: Vsop.de "
"Ein Mädchen vor'm Spiegel ist die Frucht, die sich selber ißt.","Friedrich Hebbel, Sämtliche Werke: Tagebücher, 1. Band. 1663 (1839). Hist.-krit. Ausgabe besorgt von Richard Maria Werner. Zweite Abteilung. Neue Subskriptions-Ausgabe, 3. unv. Auflage. Berlin: Behr, 1905. S. 373. Google Books-USA*"
"Ein Mensch, der kein Eigentum erwerben darf, kann auch kein anderes Interesse haben, als so viel wie möglich zu essen und so wenig wie möglich zu arbeiten.","Adam Smith, Natur und Ursachen von Nationalreichtümern"
"Fresser und Säufer verstehen nichts vom Essen und Trinken.","Jean Anthelme Brillat-Savarin, Physiologie des Geschmacks"
"Gutes Essen kann gesundheitsschädlich sein, schlechtes ist es immer.","Wolfram Siebeck, Zeit-Magazin vom 23. Mai 1975"
"Lieber ein bissel zu gut gegessen, als wie zu erbärmlich getrunken.","Wilhelm Busch, Eduards Traum. In: Was beliebt ist auch erlaubt. Wilhelm Busch. Sämtliche Werke II. Herausgegeben von Rolf Hochhuth. 12. Auflage, München, 2008. ISBN 3570030040. S. 419"
"Man isst um zu leben und lebt nicht, um zu essen.","Molière, Der Geizhals"
"Nach einem guten Festmahl knausert man nicht mit Kleingeld.","Henrik Ibsen, Baumeister Solness I / Solness"
"Sage mir, was du isst, und ich sage dir, wer du bist.","Jean Anthelme Brillat-Savarin, Physiologie des Geschmacks"
"[…] und wenn du zu ende gegessen hast, nicht rülpsen, um Gottes willen!","Pietro Aretino, Dialoghi, 1. Tag (Nanna) – Übersetzung v. Nino Barbieri"
"Wenn du merkst, du hast gegessen, hast du schon zu viel gegessen.","Sebastian Kneipp, u.a. zitiert in: operone.de und im Hamburger Abendblatt vom 21. Januar 2004, abendblatt.de"
"Wer die Welt verändern will, der kann auch bei sich selbst und seinem täglichen Essen anfangen: Übermäßiger Fleischkonsum macht nicht nur fett und krank, sondern ist auch mitverantwortlich für Massentierhaltung, Treibhauseffekt und Umweltzerstörung.","Thomas Osterkorn, Stern Nr, 4/2011, 20. Januar 2011, S. 5"
"Wer nicht eher isset, als ihn hungert, und nichts trinket als das liebe Wasser, der wird selten krank.","Sophie Mereau, Raimond und Guido / Frau in der Waldhütte"
"Der Appetit kommt beim Essen.","Aus Deutschland"
"Gott gibt uns das Essen, der Teufel die Köche.","Aus Italien"
"Gutes Essen lässt Sorgen vergessen.","Aus Österreich"
"Iss den Fisch, wenn er noch frisch ist, und verheirate deine Tochter, solange sie jung ist.","Aus Dänemark"
"Denn ein Mensch, der da isst und trinkt und hat guten Mut bei all seinem Mühen, das ist eine Gabe Gottes.","Prediger Salomo 3,13"
"Der Gerechte ißt, daß sein Seele satt wird; der Gottlosen Bauch aber hat nimmer genug.","Sprüche 13,25"
"Die Elenden sollen essen, dass sie satt werden; und die nach dem Herrn fragen, werden ihn preisen.","Psalm 22,27, Tageslosung vom 19. November 2007"
"Du bist, was du isst.","Werbespruch, Wasa"
"Essen gut, alles gut.","Werbespruch, Knorr"
"Ja das macht das Essen fein, Maggi-Würze muß hinein.","Werbespruch, Maggi, 1950er"
