"quote","attribution"
"Auch was wir aufgeben, müssen wir mit freier Wahl aufgeben, nicht wie der Fuchs die Trauben.","Gottfried Keller, Der grüne Heinrich (Zweite Fassung), 4. Bd., Kap. 10 zeno.org"
"Ein Atheist ist eine Brut der Hölle, die sich, wie der Teufel, tausendmal verstellen kann. Bald ist's ein listiger Fuchs, bald ein wilder Bär; bald ist's ein Esel, bald ein Philosoph; bald ist's ein Hund, bald ein unverschämter Poete. Kurz, es ist ein Untier, das schon lebendig bei dem Satan in der Hölle brennt, eine Pest der Erde, eine abscheuliche Kreatur, ein Vieh, das dummer ist, als ein Vieh; ein Seelenkannibal, ein Antichrist, ein schreckliches Ungeheuer.","Gotthold Ephraim Lessing, Der Freigeist, 2. Akt Fünfter Auftritt / Martin zeno.org"
"Was du wirst erwachend sehn, // Wähl es dir zum Liebchen schön, // seinetwegen schmacht und stöhn, // sei es Brummbär, Kater, Luchs, // borst'ger Eber oder Fuchs, // was sich zeigt an diesem Platz, // wenn du aufwachst, wird dein Schatz; // sähst du gleich die ärgste Fratz'!","William Shakespeare, Ein Sommernachtstraum, 2. Aufzug, 2. Szene/ Oberon zu Titania"
"Was für die junge Braut der Kranz // Und für das Kirchenlicht der Kragen, // Das ist auch noch in unsern Tagen // Dem Eichhorn und dem Fuchs der Schwanz.","Gottlieb Konrad Pfeffel, Die beyden Eichhörner. Aus: Poetische Versuche. 7. Theil, 5. Auflage. Tübingen: Cotta, 1821. S. 87 Google Books"
"Wer, wie der Fuchs ein Amt erschleicht, // Der wird es als ein Wolf verwalten.","Karl Friedrich Kretschmann, Amtsregel. Aus: Epigrammatische Anthologie. Hrsg. von Carl Julius Schütz. 3. Theil. Halle, 1807. S. 238. Google Books"
"Alte Leute, alte Ränke; alter Fuchs, alte List.","Aus Deutschland"
"Alte Leute, alte Ränke - junge Füchse, neue Schwänke.","Aus Deutschland"
"Beim Fuchs muss man schlau wie ein Fuchs sein.","Aus Italien"
"Der Fuchs weiß mehr als ein Loch.","Aus Dänemark"
"Der Fuchs, der an die Trauben nicht rankam, behauptet, sie sind eh sauer.","Aus der Türkei"
"Ein schlafender Fuchs fängt kein Huhn.","Aus Deutschland"
"Füchse kennt man bald am Schwanz.","Aus Deutschland"
