"quote","attribution"
"Das Gesicht ist ein Abbild der Seele.","Cicero, Orator ad M. Brutum (Der Redner) XVIII, 60"
"Das Gesicht selber sagt nichts, ob es gleich hübsch ist, und redet nicht zum Herzen.","Immanuel Kant, Über das Gefühl des Schönen und Erhabenen, dritter Abschnitt, A 66"
"Das Träumen und Philosophieren hat seine Schattenseiten; wer das zweite Gesicht hat, dem fehlt mitunter das erste.","August Julius Langbehn, Rembrandt als Erzieher"
"Den Strick der Reaktion um den Hals und das Brandmal der Schande auf dem Gesicht werdet ihr [die Frankfurter Nationalversammlung] zu uns herüberschauen, die wir unentehrt und kampfbereit euren Ruin abwarten, um über eure Leiber in die Burg der Freiheit einzudringen.","Gustav Struve, Geschichte der drei Volkserhebungen in Baden, Bern 1849"
"Der Körper ist der Einband des Geistes, das Gesicht der Titel und das Auge der Name des Verfassers.","Johann Wilhelm Ritter, Fragmente aus dem Nachlass eines jungen Physikers"
"Die Welt ist ein Spiegel, aus dem jedem sein eigenes Gesicht entgegenblickt.","William Makepeace Thackeray, Jahrmarkt der Eitelkeit"
"Ein Gesicht, dem das Lachen fehlt, ist nicht willkommen.","Martial, Epigramme VII, 25, 6"
"Engelgleiches Antlitz // ist ihnen eigen meine Dame: // Oh Gott, wie gewagt // war mein Verlangen.","Guido Cavalcanti aus Rime - Fresca rosa novella"
"Es gibt eine Menge Menschen, aber noch viel mehr Gesichter, denn jeder hat mehrere.","Rainer Maria Rilke, Die Aufzeichnungen des Malte Laurids Brigge, Erstes Bändchen, Insel-Verlag, Leipzig 1918, S. 5, alo"
"Es gibt Leute, die glauben, alles wäre vernünftig, was man mit einem ernsthaften Gesicht tut.","Georg Christoph Lichtenberg, Sudelbücher Heft E (286)"
"Es kennen dich viele von Haar und Gesicht, // Von Wuchs und Stimme, Beruf und Pflicht. // Du wirst geachtet, wirst geehrt, // Es halten dich manche besonders wert. // Doch selbst in der nächsten Freunde Verein // Im Innersten bist du allein.","Wilhelm Jensen, Gedichte, Auf dem Wege, Projekt Gutenberg"
"Gesicht und Seele sind wie Silbenmaß und Gedanken.","Georg Christoph Lichtenberg, Sudelbücher"
"Herr, wenn der heilige Antonius in der Wüste // ein so anmutiges Gesicht, // mit diesem lächelnden halb geöffneten Mündchen gesehen hätte, // wäre er entweder auf der Stelle tot umgefallen // oder hätte mit all seinen Organen durcheinander // bestimmt auf das Paradies gepfiffen!","Giorgio Baffo, aus Poesie, Seite 114"
"Hinter der Maske ist immer ein lebendiges Gesicht.","William Butler Yeats, Synges Tod"
"Ich bin froh, dass ich mit meiner Breite aus den Einheitsgesichtern im Fernsehen heraussteche. Mit mir können sich die Leute viel besser identifizieren als mit einem Schönling.","Ottfried Fischer, Interview im Reader's Digest, August 2005"
"In der Katastrophe nimmt sich das Unheil nur selten die Zeit, um für unser Gesicht die rechte Maske zu liefern.","Jean Giraudoux, Um Lukrezia"
"In jedes Menschen Gesichte // Steht seine Geschichte, // Sein Hassen und Lieben // Deutlich geschrieben; // Sein innerstes Wesen, // Es tritt hier ans Licht … // Doch nicht jeder kann's lesen, // Verstehn jeder nicht.","Friedrich von Bodenstedt, Das wahre Gesicht"
"Jeder Mensch trägt einen Zauber im Gesicht: irgend Einem gefällt er.","Friedrich Hebbel, Sämtliche Werke: Tagebücher, 4. Band. 5874 (1861). Hist.-krit. Ausgabe besorgt von Richard Maria Werner. Berlin: Behr, 1905. S. 184 Internet Archive"
"Jedes Ding hat hundert Glieder und hundert Gesichter.","Michel de Montaigne, Die Essais"
"Manche Finanzinvestoren verschwenden keinen Gedanken an die Menschen, deren Arbeitsplätze sie vernichten - Sie bleiben anonym, haben kein Gesicht, fallen wie Heuschreckenschwärme über Unternehmen her, grasen sie ab und ziehen weiter. Gegen diese Form von Kapitalismus kämpfen wir.","Franz Müntefering, Bild, 16. April 2005"
"Manche Leute verneigen // Sich gern vor Leuten, die ernsten Gesichts // Langdauernd schweigen..","Joachim Ringelnatz, aus Schweigen"
"Sage mir, welches Gesicht du dem Unglück gezeigt hast, und ich werde Dir sagen, wer Du bist.","Napoléon III., in einem Brief vom 8. Juni 1841 aus der Gefangenschaft in Ham an Hortense Cornu, aus: Joachim Kühn, Napoleon III, Ein Selbstbildnis in ungedruckten und zerstreuten Briefen, Napoleon-Museum Arenenberg 1993, ISBN 3-85809-086-7 A, S. 253"
"Um zu lachen, muss man ein Gesicht haben.","Wladimir Wladimirowitsch Majakowski, Das Tier lacht nicht"
