"quote","attribution"
"Dem Hunde, wenn er gut gezogen, // Wird selbst ein weiser Mann gewogen.","Johann Wolfgang von Goethe, Faust I, Vers 1174 f. / Wagner"
"Der Hund stößt zuweilen ein heiseres, asthmatisches Heulen aus. Hunde müssen ihre Gedanken aussprechen.","Eduard von Keyserling, Seine Liebeserfahrung (1906). in: Schwüle Tage. Frankfurt am Main: Fischer, 1983. S. 68. ISBN 3-596-25351-9"
"Die Hochzeit währte acht Tage lang, und die Hunde saßen mit bei Tische und machten große Augen.","Hans Christian Andersen, Das Feuerzeug, In: Sämmtliche Märchen. Deutsch von Julius Reuscher. 12. verm. Auflage, Volksausgabe. Leipzig: Günther, 1875. S. 113. Google Books-USA*''"
"Die Katholiken vertragen sich unter sich nicht, aber sie halten immer zusammen, wenn es gegen einen Protestanten geht. Sie sind einer Meute Hunde gleich, die sich untereinander beißen, aber sobald sich ein Hirsch zeigt, sogleich einig sind und in Masse auf ihn losgehen.","Johann Wolfgang von Goethe, an Johann Peter Eckermann, 7. April 1829"
"Eine Prostituierte sah einen Hund an einem heißen Tag, der um einen Wasserbrunnen umherging und dessen Zunge aus Durst heraushing. Da zog sie für ihn das Wasser mit ihrem Schuh heraus. Für dieses wurde ihr vergeben.","Mohammed, Sahih Muslim, 4163"
"Ich wünsche zuGrabe getragen zu werden wie ein Hund, ohne eine einzige von euren Zeremonien, die ich nicht anerkenne. Ich rechne auf eure Güte zuversichtlich, über meinen letzten irdischen Wunsch zu wachen. Ich zähle auf eure Freundschaft, dass es so geschehe. Ich bin ein Jünger Christi wie im ersten Jahrhundert, und sonst nichts.","Henri Dunant, Brief an seinen Freund Wilhelm Sonderegger, Herbst 1890. Zitiert in: Hans Amann: Henry Dunant: Das Appenzellerland als seine zweite Heimat. Herisau: Appenzeller Verlag, 2008. S. 22"
"In den Augen meines Hundes // Liegt mein ganzes Glück, // All mein Innres, krankes, wundes // Heilt in seinem Blick.","Friederike Kempner, Nero. In: Gedichte, 7. Auflage, Verlag von Karl Siegismund, Berlin 1895, S. 141, ULB Düsseldorf"
"Ja, ja, in der allgemeinen Classification geht ihr unter diesem Namen, so wie Windhunde, Wachtelhunde, Pudel, Möpse, Bullen-Beißer, Schäferhunde, alle unter dem allgemeinen Namen Hund begriffen werden; die besondere Bestimmung unterscheidet den schnellen, den langsamen, den schlauen, den Haushüter, den Jäger, einen jeden durch eine gewisse Gabe der gütigen Natur, die seiner Art eigen ist, und ihn aus der allgemeinen Gattung auszeichnet.","William Shakespeare, 3. Akt, 1. Szene / Lady Macbeth"
"Kein Zweifel, der Hund ist treu. Aber sollen wir uns deshalb ein Beispiel an ihm nehmen? Er ist doch dem Menschen treu und nicht dem Hund.","Karl Kraus, Fackel 251/252 39; Sprüche und Widersprüche"
"Mit zwanzig Jahren // ist der Mensch ein Pfau, // mit dreißig ein Löwe, // mit vierzig ein Kamel, // mit fünfzig eine Schlange, // mit sechzig ein Hund, // mit siebzig ein Affe, // mit achtzig - nichts.","Baltasar Gracián y Morales, Handorakel und Kunst der Weltklugheit"
"Ob wirklich Gott den Menschen nach seinem Ebenbild schuf, möchte ich in Anbetracht des Ergebnisses bezweifeln. Daß der Mensch aber den Hund nach seinem Ebenbild schuf, das steht fest.","Erik Zimen, Der Hund. Abstammung - Verhalten - Mensch und Hund. Goldmann Verlag, 1992, ISBN 3-442-12397-6, S. 200"
"Vielleicht ginge es besser, wenn die Menschen Maulkörbe und die Hunde Gesetze bekämen, wenn die Menschen an der Leine und die Hunde an der Religion geführt würden. Die Hundswut könnte in gleichem Maße abnehmen wie die Politik.","Karl Kraus, Fackel 198;299 46; Pro domo et mundo"
"Was Gott dem Menschen, ist der Mensch dem Hunde.","Frank Wedekind, Brief an A. Barte, Februar 1884"
"Wenn du einen verhungernden Hund aufliest und ihn gesund pflegst, wird er dich nicht beißen. Das ist der Hauptunterschied zwischen Hund und Mensch.","Mark Twain, The Tragedy of Pudd'nhead Wilson, Kap. 16"
"Zu Aachen langweilen sich auf der Straß // die Hunde, sie flehn untertänig: // Gib uns einen Fußtritt, o Fremdling, das wird // vielleicht uns zerstreuen ein wenig.","Heinrich Heine, Deutschland. Ein Wintermärchen"
"Alter Hund bellt nicht umsonst.","Aus Friaul"
"Alter Wolf wird von Hunden angepinkelt.","Aus Venedig"
"Bei sich zuhause ist der Hund am stolzesten.","Aus Dänemark"
"Den Hund der bellt, brauchst du nicht zu fürchten.","Aus Griechenland"
"Den letzten beißen die Hunde.","Aus Deutschland"
"Der Knochen kommt nicht zum Hund, sondern der Hund zum Knochen.","Aus Deutschland"
"Keine schlafenden Hunde wecken.","Deutsches Sprichwort"
"Man findet schnell einen Stock, wenn man einen Hund schlagen will.","Aus England"
"Noch nicht einmal der Hund wedelt umsonst mit dem Schwanz.","Aus Friaul"
"Wenn die Hunde hinken, die Weiber weinen und die Krämer schwören, so hat das nicht viel zu bedeuten.","Aus Dänemark"
"Wenn man den toten Hund nicht aus dem Brunnen holt, wird man den Brunnen nie sauber bekommen.","Aus Pakistan, zitiert nach Süddeutsche Zeitung vom 19. August 2008, Ausgabe 192, Seite 4, Vgl. auch sueddeutsche.de, tagesspiegel.de"
"Wird der Ochse gestriegelt, knurrt ihn der Hund an.","Sumerisches Sprichwort, zitiert nach: Hans Baumann: Im Lande Ur, S. 98"
