"quote","attribution"
"Aber auch kein stolzer Gebet als um Weisheit, denn diese haben die Götter ein für allemal den Menschen versagt. Klugheit teilen sie aus, dem Stier nach seinen Hörnern und der Katze nach ihren Klauen, sie haben alle Geschöpfe bewaffnet.","Johann Wolfgang von Goethe, Tagebuch, 13. Januar 1779"
"Das sind gefährliche Katzen, // die vorne lecken und hinten kratzen.","Georg Rollenhagen, Bröseldieb sagt, wer Murner sei. Aus: Froschmeuseler, 1. Buch, 2. Theil, 2. Kapitel. Hg. von Karl Goedeke. Erster Theil. Leipzig: F. A. Brockhaus, 1876 [Dt. Dichter des 16. Jahrhunderts, Bd. 8]. S. 68, Zeile 125f."
"(Original: ","Die sind geferliche katzen, // Die vorn lecken, hinten kratzen."
"Der wesentliche Unterschied zwischen einer Katze und einer Lüge besteht darin, dass eine Katze nur neun Leben hat.","Mark Twain, Following the Equator, chapter LXIII"
"Ich wundere mich manchmal, wie ich das alles überleben konnte. Ich glaube fast, dass ich dank meines langen Umgangs mit Katzen inzwischen neun Leben habe wie sie."," Eleanor Marx, Briefwechsel mit der Schwester"
"Unter allen Geschöpfen dieser Erde gibt es nur eines, das sich keiner Versklavung unterwerfen lässt. Dieses ist die Katze.","Mark Twain, a Biography volume II Part 2 1886-1900 CLXXXVII"
"Wenn die katz nicht ist im haus, // so hat frei umlaufen die maus.","Georg Rollenhagen, Murner betreugt die meuse mit seinem todfliegen.  Aus: Froschmeuseler, 1. Buch, 2. Theil, 25. Kapitel. Hg. von Karl Goedeke. Erster Theil. Leipzig: F. A. Brockhaus, 1876 [Dt. Dichter des 16. Jahrhunderts, Bd. 8]. S. 176, Zeile 17f."
"Wenn die Katze viel frisst, so wird sie übermütig.","Hartmann von Aue, Iwein / Keii"
"Wenn ich mit meiner Katze spiele, wer weiß, ob sie sich nicht noch mehr mit mir die Zeit vertreibt als ich mir mit ihr?","Michel de Montaigne, Essais II 12; in der Übersetzung von Herbert Lüthy, Zürich 1953 u.ö., S. 433"
"Wir sollten darauf achten, einer Erfahrung nur so viel Weisheit zu entnehmen, wie in ihr steckt - mehr nicht; damit wir nicht der Katze gleichen, die sich auf eine heiße Herdplatte setzte. Sie setzt sich nie wieder auf eine heiße Herdplatte - und das ist richtig; aber sie setzt sich auch nie wieder auf eine kalte.","Mark Twain, Following the Equator, chapter XI."
"Das Tier, das der Leopard nicht fressen konnte, verspeist auch die Katze nicht.","Aus Afrika, Sprichwort der Thsi"
"Die Katze geht so lange an den Speck, bis sie ihre Pfote einbüßt.","Aus Italien"
"Die Katze, die die Wurst nicht greifen konnte, sagt: »Immerhin ist Freitag«.","Aus Georgien"
"Ein Bauer zwischen zwei Advokaten ist ein Fisch zwischen zwei Katzen.","Aus Deutschland"
"Es hagelt Katzen.","Aus der Schweiz"
"Es regnet Katzen und Hunde.","Aus England"
"Hätten nur die Katzen Flügel, wären Spatzen seltne Vögel.","Aus Serbien"
"Katzen haben sieben Leben.","Aus Deutschland"
"Neun Leben hat die Katze.","Aus Deutschland"
"Wenn die Katze aus dem Haus ist, tanzen die Mäuse auf dem Tisch.","Aus Deutschland"
"Wenn die Katze niest, gibt es Regen.","Aus England"
"Wer einer Katze etwas antut, wird vom Hagel heimgesucht.","Aus der Schweiz"
"Die Katze im Sack kaufen","Aus Deutschland"
"Katzen würden Whiskas kaufen.","Werbespruch, Whiskas"
