"quote","attribution"
"Aber man muss sich verkleiden, um die Gesellschaft zu demaskieren, muss täuschen und sich verstellen, um die Wahrheit herauszufinden.","Günter Wallraff, Ganz unten, Köln am 7. Oktober 1985"
"An der Farbe lässt sich die Sinnesweise, an dem Schnitt die Lebensweise des Menschen erkennen.","Johann Wolfgang von Goethe, Wilhelm Meisters Wanderjahre II"
"Bei einer dummen Obrigkeit, da grüßt man nicht den Mann, man grüßet nur das Kleid.","Jean de La Fontaine, Fabeln"
"Die griechische Kleidung war wesentlich unkünstlerisch. Einzig der Körper soll den Körper offenbaren.","Oscar Wilde, Sätze und Lehren zum Gebrauch für die Jugend"
"Die Kleidung macht den Mann.","Marcus Fabius Quintilian, Institutio Oratoria VIII, V."
"Die weibliche Kleider-Liebe hat samt der Reinlichkeit, welche gleichsam auf der Grenzscheide zwischen Leib und Sittlichkeit wohnt, eine Wand- und Tür-Nachbarin, nämlich Herzens-Reinheit.","Jean Paul, Levana"
"Durch zerlumpte Kleider sieht man die kleinsten Laster; lange Röcke und Pelzmäntel verbergen alles.","William Shakespeare, König Lear / Lear"
"Eines der wirksamsten Mittel bei der Hypnose - der äusseren Einwirkung auf den seelischen Zustand des Menschen - ist die Kostümierung. Die Menschen wissen das sehr gut. So erklärt sich das Mönchsgewand im Kloster und die Uniform beim Militär.","Leo Tolstoi, Tagebücher, 1896"
"Es liegt in frischen Kleidern eine Art Jugend, in die das Alter sich hüllen soll.","Joseph Joubert, Gedanken, Versuche und Maximen"
"Frauen in Männerkleidern, ohne ihre wallenden Gewänder, verlieren an Anmut.","Joseph Joubert, Gedanken, Versuche und Maximen"
"Frauen sollen aufhören, sich aufreizend zu kleiden. Je provokanter die Robe, desto weniger sexy ist die Frau.","Miuccia Prada, Stuttgarter Zeitung Nr. 161/2008 vom 12. Juli 2008, S. 20"
"Ich hasse das Wort billig. Menschen sind billig, Bekleidung ist dagegen teuer oder preiswert.","Karl Lagerfeld, im Zusammenhang mit der H&M Mode ausgesprochen, manager magazin, Heft 2/2005, manager-magazin.de"
"Mit dem Kleid zieht das Weib auch die Scham aus.","Herodot, Historien, 1, VIII, 3"
"Wenn wir es recht überdenken, so stecken wir doch alle nackt in unseren Kleidern.","Heinrich Heine, Reisebilder, Norderney"
"Es gibt kein schlechtes Wetter, es gibt nur falsche Kleidung.","Aus Deutschland"
"Kleider machen Leute.","Aus Deutschland"
"Auch sollen sich die Frauen anständig, bescheiden und zurückhaltend kleiden; nicht Haartracht, Gold, Perlen oder kostbare Kleider seinen ihr Schmuck, sondern gute Werke; so gehört es sich für Frauen, die gottesfürchtig sein wollen.","1. Timotheus 2,9-10 EU"
"Und was sorgt ihr euch um eure Kleidung? Lernt von den Lilien, die auf dem Feld wachsen: Sie arbeiten nicht und spinnen nicht. Doch ich sage euch: Selbst Salomo war in all seiner Pracht nicht gekleidet wie eine von ihnen.","Matthäus 6,28-29 EU"
