"quote","attribution"
"Denn unsterblich in Tönen lebt fort, was ein Mund kunstvoll erzählt hat.","Pindar, Isthmische Ode"
"Die Natur des Mundes ist es, Wohlgeschmäcke zu lieben, aber wenn das Herz nicht heiter ist, so mögen Speisen von allen fünf Geschmacksarten vor einem stehen, und man isst sie nicht.","Lü Bu We, Frühling und Herbst des Lü Bu We, S. 60"
"Herr, wenn der heilige Antonius in der Wüste // ein so anmutiges Gesicht, // mit diesem lächelnden halb geöffneten Mündchen gesehen hätte, // wäre er entweder auf der Stelle tot umgefallen // oder hätte mit all seinen Organen durcheinander // bestimmt auf das Paradies gepfiffen!","Giorgio Baffo, aus Poesie, Seite 114"
"Geküsster Mund verliert nicht sein Glück, vielmehr erneuert er sich wie es der Mond tut.","Giovanni Boccaccio, Decamerone, 2. Tag, 7. Erzählung"
"Keines Menschen Mund spricht anders, als ihm sein Herz eingibt.","Hartmann von Aue, Iwein"
"Torheit, du regierst die Welt, und dein Sitz ist ein schöner weiblicher Mund!","Heinrich von Kleist, Michael Kohlhaas"
"Und dieser Krug, den ich am Munde halte: // Er ist ein Abbild andrer Krüge nur. // Das Neue wird so ganz und gar das Alte - // Und eine gleicht der andren Wagenspur.","Klabund, Das Sinngedicht des persischen Zeltmachers. München: Roland-Verlag, 1917. S. 21"
"Wenige Liebhaber bedenken, daß man nicht gerade alles wie die Bratwurst in der Garküche vom Rost in den Mund nehmen kann, sondern daß Vorbereitung verlangt wird sowohl unserer als des Gegenstandes.","Johann Wolfgang von Goethe, Schriften zur Kunst - Notiz über den englischen Formschneider J. B.Jakson"
"Wenn das Ohr sich nicht mehr an den Tönen freuen kann, wenn das Auge sich nicht mehr an der Schönheit freuen kann, der Mund die Leckerbissen nicht mehr genießt, so ist das ebenso schlimm wie der Tod.","Lü Bu We, Frühling und Herbst des Lü Bu We, S. 20"
"Nicht das, was durch den Mund in den Menschen hineinkommt, macht ihn unrein, sondern was aus dem Mund des Menschen herauskommt, das macht ihn unrein.","Matthäus 15,11 EU"
"Aus dem Munde eines Kindes spricht die Wahrheit.","Aus Russland"
"Der Mund ist die Wurzel des Unglücks.","Aus Japan"
"Man kann nicht alle Münder mit einem Tuch bedecken.","Aus Russland"
"Wer sich einmal mit heißer Milch den Mund verbrannt hat, pustet sogar auf Joghurt.","Aus der Türkei"
