"quote","attribution"
"Das Ohr ist stumm, der Mund ist taub; aber das Auge vernimmt und spricht. In ihm spiegelt sich von außen die Welt, von innen der Mensch.","– Johann Wolfgang von Goethe, Farbenlehre"
"Denn Augen sind genauere Zeugen als die Ohren.","Heraklit, Fragmente"
"Des Menschen Geist wohnt in den Ohren: Wenn er etwas Gutes höret, so erfüllet er den Leib mit Wohlgefallen; höret er aber das Gegenteil, so brauset er auf.","Xerxes I., überliefert von Herodot, Historien"
"Die Natur des Ohres ist es, die Töne zu lieben; aber wenn das Herz nicht heiter ist, so mögen alle fünf Klänge ertönen, und man hört sie nicht.","Lü Bu We, Frühling und Herbst des Lü Bu We, S. 60. Aus dem Chinesischen übertragen und herausgegeben von Richard Wilhelm (1873-1930), Eugen Diederichs Verlag, Düsseldorf-Köln 1979, ISBN 3-424-00625-4"
"Die Ohren sind Straße und Kanal, durch die die Stimme zum Herzen kommt.","Chrétien de Troyes, Yvain"
"Es ist schwer, mit dem Bauch zu argumentieren, denn der hat keine Ohren.","Cato d.J., überliefert durch Plutarch, Leben des Cato"
"Lass dich die Macht der Gewohnheit auf vielbetretene Wege nicht drängen, // Trau nicht dem irrenden Blick und dem vom Echo verrauschten Ohre, // Auch nicht der Zunge: allein der Verstand sei Prüfer und Richter.","Parmenides von Elea, gemäß Diogenes Laertius: Leben und Meinungen berühmter Philosophen IX, 22"
"Manch einer macht die Ohren auf, wenn er es aber nicht mit dem Herzen aufnimmt, dann hat er nichts als leeren Schall.","Hartmann von Aue, Iwein"
"Und stündlich mit den schnellen Schwingen // Berühr' im Fluge sie (die Glocke) die Zeit, // Dem Schicksal leihe sie die Zunge, // Selbst herzlos, ohne Mitgefühl, // Begleite sie mit ihrem Schwunge // Des Lebens wechselvolles Spiel. // Und wie der Klang im Ohr vergehet, // Der mächtig tönend ihr entschallt, // So lehre sie, dass nichts bestehet // Dass alles Irdische verhallt.","Friedrich Schiller, Das Lied von der Glocke"
"Was dem Auge dar sich stellet, // Sicher glauben wir's zu schaun; // Was dem Ohr sich zugesellet, // Gibt uns nicht ein gleich Vertraun; // Darum deine lieben Worte // Haben oft mir wohlgetan; // Doch ein Blick am rechten Orte, //  Übrig lässt er keinen Wahn.","– Johann Wolfgang Goethe, Gedicht Aug' um Ohr"
"Weit offene Ohren vergessen leicht, was ihnen anvertraut wurde.","Horaz, Briefe I, XVIII, 70"
"Wenn das Ohr sich nicht mehr an den Tönen freuen kann, wenn das Auge sich nicht mehr an der Schönheit freuen kann, der Mund die Leckerbissen nicht mehr genießt, so ist das ebenso schlimm wie der Tod.","Lü Bu We, Frühling und Herbst des Lü Bu We, S. 20. Aus dem Chinesischen übertragen und herausgegeben von Richard Wilhelm (1873-1930), Eugen Diederichs Verlag, Düsseldorf-Köln 1979, ISBN 3-424-00625-4"
