"quote","attribution"
"Der wohlfeile, schnelle, sichere und regelmäßige Transport von Personen und Gütern ist einer der mächtigsten Hebel des Nationalwohlstandes und der Civilisation nach allen ihren Verzweigungen.","Friedrich List, Das deutsche National-Transport-System in volks- und staatswirthschaftlicher Beziehung, 1838. S. 1"
"Die Aufgabe wechselt nicht nur von Mensch zu Mensch - entsprechend der Einzigartigkeit jeder Person - , sondern auch von Stunde zu Stunde, gemäß der Einmaligkeit jeder Situation.","Viktor Frankl, Ärztliche Seelsorge : Grundlagen der Logotherapie und Existenzanalyse, Deuticke, Wien 1948 S. 43"
"Die ergreifenden Szenen in fast jedermanns Leben sind meist solche, die von niemand bemerkt und von der fraglichen Person völlig außer acht gelassen werden.","John Cowper Powys, A Glastonbury Romance, London 1933, Carl Hanser Verlag München, Wien für Zweitausendeins, 1995, aus dem Englischen von Klaus Pemsel, ISBN 3-86150-258-5, S. 925"
"Die Welt wird von ganz anderen Personen regiert als diejenigen es sich vorstellen, die nicht hinter den Kulissen stehen.","Benjamin Disraeli, Coningsby, 1844"
"Ein Fötus ist keine Sache, kein Gewebe, aber auch nicht gleichzusetzen mit einer geborenen Person.","Alberto Bondolfi, über Schwangerschaftsabbruch, Walliser Bote, 29. März 1996"
"Es gibt keine potentiellen Personen. Personen besitzen Fähigkeiten, Potenzen. Personen können sich entwickeln. Aber es kann sich nicht etwas zur Person entwickeln. Aus etwas wird nicht jemand.","Robert Spaemann, Personen. Stuttgart: Klett-Cotta 1996, S. 261"
"Handle so, dass du die Menschheit sowohl in deiner Person, als in der Person eines jeden anderen jederzeit zugleich als Zweck, niemals bloß als Mittel brauchst.","– Immanuel Kant, Kategorischer Imperativ, Grundlegung zur Metaphysik der Sitten, Akademie-Ausgabe Kant Werke IV, Walter de Gruyter 1968, S. 429, 10-12"
"Ich sag' euch etwas zu meiner Person. Ich weiß ja, ich bin ja schon eine Persönlichkeit des öffentlichen Lebens, und ich weiß auch ganz genau, dass mein Privatleben, jetzt sowieso, nur noch öffentlich sein wird. Aber damit auch keine Irritationen hochkommen, liebe Genossinnen und Genossen; ich sag's euch auch, und wer's noch nicht gewusst hat: Ich bin schwul - und das ist auch gut so, liebe Genossinnen und Genossen!","Klaus Wowereit, Rede vor den Delegierten des Nominierungsparteitages der SPD, 10. Juni 2001, WDR 2 MonTalk, 11. August 2003"
"Person ist der Mensch von Anbeginn seiner Existenz, Persönlichkeit muss er erst werden."," Hans-Eduard Hengstenberg. Philosophische Anthropologie - 4. Aufl.. - Muenchen, Pustet, 1984, ISBN 978-3170820258 - Seite 35. - zitiert in Thomas Michael Krüger: Persönlichkeitsausdruck und Persönlichkeitswahrnehmung im Zeitalter der Investiturkonflikte - Georg Olms Verlag, 2002. S. 20 - ISBN 361500261X Google Books"
"Wer berufen ist, hat Angst, wenn seine Stunde schlägt, denn er weiß, welches Opfer sie von ihm verlangt: das Opfer seiner Person um seiner Sache willen.","Hermann Bahr, Tagebücher"
"Zur Verwandlung von Geld in Kapital muss der Geldbesitzer also den freien Arbeiter auf dem Warenmarkt vorfinden, frei in dem Doppelsinn, dass er als freie Person über seine Arbeitskraft als seine Ware verfügt, dass er andrerseits andre Waren nicht zu verkaufen hat, los und ledig, frei ist von allen zur Verwirklichung seiner Arbeitskraft nötigen Sachen.","Karl Marx, Das Kapital, Band 1. Zweiter Abschnitt: Die Verwandlung von Geld in Kapital. MEW 23, S. 183, 1867."
"Eine Person und ein Esel zusammen wissen mehr als eine Person alleine.","Aus Kroatien"
