"quote","attribution"
"Anerkennung ist eine Pflanze, die vorwiegend auf Gräbern wächst.","Robert Lembke, Das Beste aus meinem Glashaus. Seite 156."
"Der Charakter des Menschen wächst sich entweder zur Nutzpflanze oder zum Unkraut aus, deswegen muß man hier rechtzeitig gießen, dort jedoch ausrotten.","Francis Bacon, Über die natürliche Veranlagung im Menschen"
"Die Einsamkeit ist wie der Duft einer Giftpflanze, süß, aber betäubend und mit der Zeit geradezu verderblich, selbst für die stärksten Konstitutionen.","Friedrich Spielhagen, Problematische Naturen"
"Es können nicht alle Pflanzen leben bleiben, aber es können alle zugrunde gehen.","Lü Bu We, Frühling und Herbst des Lü Bu We, S. 458. Frühling und Herbst des Lü Bu We. Aus dem Chinesischen übertragen und herausgegeben von Richard Wilhelm (1873-1930), Eugen Diederichs Verlag, Düsseldorf-Köln 1979, ISBN 3-424-00625-4"
"Gewalt bringt keine Pflanze zum Wachsen. Sie reisst höchstens ihre Wurzeln aus.","Walter Ludin, Wo sind die Freundbilder?"
"Ich bin eine Pflanze.","Joan Miró, zitiert in: Hans Platschek (Hrsg.), rowohlt Monographie, Reinbek bei Hamburg, 1993, 1090 - ISBN 3 499 50 409 X, S. 131"
"Suchst du das Höchste, das Größte? Die Pflanze kann es dich lehren. Was sie willenlos ist, sei du es wollend - das ist's!","– Friedrich Schiller, Das Höchste"
"Von andern Pflanzen unterscheiden sich Schauspieler dadurch, dass sie eintrocknen, wenn sie nicht in die Presse kommen.","Alfred Polgar, Kleine Schriften, Band 3. Irrlicht"
"Vor tausend Jahren hatten die Pflanzen dieselben Formen und Farben wie heute. Aber die Menschen der damaligen Zeit - wie erstaunlich sind sie von den unsrigen verschieden!","Christian Garve, Über Gesellschaft und Einsamkeit"
"Was bringt uns dazu, eine Seele anzunehmen? Warum nennen wir ein Tier beseelt, die Pflanze nicht?","Henrich Steffens, Über die wissenschaftliche Behandlung der Psychologie"
"Die beste Zeit, einen Baum zu pflanzen, war vor zwanzig Jahren. Die nächstbeste Zeit ist jetzt.","Aus Uganda"
