"quote","attribution"
"Bedenk, dass das demütigste aller Gänseblümchen verführerischer ist als die stolzeste und glänzendste Dornrose, die uns im Frühling mit ihren durchdringenden Düften und ihren lebhaften Farben verlockt.","Honoré de Balzac, Une double famille, 1830"
"Denn Mädchen sind wie Rosen: kaum entfaltet, ist ihre holde Blüte schon veraltet.","William Shakespeare, Was ihr wollt, 2. Akt, 4. Szene / Orsino"
"Eine rote Rose ist nicht selbstsüchtig, weil sie eine rote Rose sein will. Es wäre aber furchtbar selbstsüchtig, wenn sie wollte, daß alle Blumen im Garten rote Rosen sind.","Oscar Wilde, Der Sozialismus und die Seele des Menschen"
"Rose ist eine Rose ist eine Rose.","Gertrude Stein, Sacred Emily 1913"
"Rosen auf den Weg gestreut // Und des Harms vergessen! // Eine kleine Spanne Zeit // Ward uns zugemessen.","Ludwig Christoph Heinrich Hölty, Lebenspflichten"
"Rosen, ihr blendenden, // Balsam versendenden! // Flatternde, schwebende, // Heimlich belebende, // Zweiglein beflügelte, // Knospen entsiegelte, // Eilet zu blühn!"," Johann Wolfgang von Goethe, Faust II, Vers 11699 ff. / Chor der Engel"
"Rosenzeit! Wie schnell vorbei, // Schnell vorbei // Bist du doch gegangen!","Eduard Mörike, Agnes"
"Soll ich darum das Veilchen unter die Füße treten, weil ich die Rose nicht erlangen kann?","Friedrich Schiller, Der Spaziergang unter den Linden, Edwin"
"Über Rosen lässt sich dichten, // In die Äpfel muss man beißen.","Johann Wolfgang von Goethe, Faust II, Vers 5168 f. / Gärtner"
"Zeit bringt Rosen. Sie haben unterschiedliche Farben und Formen, aber immer liegt in ihnen etwas von der Vielfalt des Lebens selbst.","Johannes Kuhn, Zeit bringt Rosen, Stuttgart, 1991. ISBN 3-7918-1800-7. S. 9"
"Ärgere dich nicht, dass die Rosen Dornen haben, sondern freu' dich, dass die Dornen Rosen haben.","Aus Deutschland"
"Geduld bringt Rosen.","Aus Tschechien"
"Wer die Rose liebt, nimmt ihre Dornen in Kauf.","Aus der Türkei"
