"quote","attribution"
"Auch streift der Mensch in den Wäldern seine Jahre ab wie die Schlange ihre Haut und ist, in welchem Jahre seines Lebens er auch stehen mag, doch immer ein Kind. In den Wäldern ist immerwährende Jugend. In diesen Pflanzungen Gottes herrscht Würde und Heiligkeit, eine immerwährende Festlichkeit wird bereitet, und kein Gast vermag zu erkennen, wie er in tausend Jahren ihrer überdrüssig werden sollte.","Ralph Waldo Emerson, Natur (Nature), zitiert nach der deutschen Übersetzung von Harald Kiczka, Zürich 1988, S. 16"
"Dann ist freilich jeder bange, // Selbst der Affengreis entfleucht, // Wenn die lange Brillenschlange // Zischend von der Palme kreucht.","Wilhelm Busch, Fipps der Affe, Anfang. In: Was beliebt ist auch erlaubt. Wilhelm Busch. Sämtliche Werke II. Herausgegeben von Rolf Hochhuth. 12. Auflage, München, 2008. ISBN 3570030040. S. 325"
"Deutschland ist untergegangen in einem Bad von Stahl. Heraldische Drachen und Schlangen beten zum biblischen Baal.","Klabund, Sommerelegie. Aus: Die Harfenjule. Berlin: Verlag die Schmiede, [1927]. S. 51"
"Eine Giftschlange zähmt man nit, man zertritt sie!","Friedrich Wolf, Der Arme Konrad. Schauspiel aus dem deutschen Bauernkrieg 1514. Stuttgart: Reclam, 1975. S. 37. ISBN 3150098092"
"Er würgte eine Klapperschlang, // bis ihre Klapper schlapper klang.","Heinz Erhardt, Schwänke aus heiterem Himmel, in: Das große Heinz Erhardt Buch, Fackelträger, Lingen 1970. S. 222"
"Ist doch der Mensch gleichwie nichts; seine Tage gehen dahin wie ein Schatten, er hüpft umher wie ein Bock, bläht sich auf wie eine Blase, faucht wie ein Luchs, frißt sich den Bauch voll wie eine Schlange, wiehert beim Anblick eines fremden Weibes wie ein Hengst, ist tückisch wie der Teufel; hat er seine Begierden gestillt, so schläft er, wann und wo ihn der Schlaf überfällt(...)","Awwakum, Das Leben des Protopopen Avvakum, von ihm selbst niedergeschrieben, aus dem Altrussischen übersetzt von Gerhard Hildebrandt, Vandenhoeck & Ruprecht, Göttingen 1965, S.52"
"Mit zwanzig Jahren // ist der Mensch ein Pfau, // mit dreißig ein Löwe, // mit vierzig ein Kamel, // mit fünfzig eine Schlange, // mit sechzig ein Hund, // mit siebzig ein Affe, // mit achtzig - nichts.","Baltasar Gracián y Morales, Handorakel und Kunst der Weltklugheit, 276"
"Adam schiebt die Schuld auf Eva, und Eva auf die Schlange.","Sprichwort"
"Der in die See gefallene klammert sich (sogar) an eine Schlange.","Aus der Türkei"
"Ein ansprechendes Wort wird die Schlange aus ihrem Bau locken.","Aus der Türkei"
