"quote","attribution"
"Wer sonst gar nichts hat, der hat doch ein Vaterland. Patriotismus ist die Religion der ganz armen Schweine.","Wiglaf Droste, Kommentar in der taz, 5. Dezember 2003, taz.de"
"Uns ist ganz kannibalisch wohl // Als wie fünfhundert Säuen!","Johann Wolfgang von Goethe, Faust I, Vers 2293 f. / Alle (lustigen Gesellen)'"
"Wie wichtig ist es doch, sich bei Delikatessen und ähnlichen Speisen vorzustellen, dass dieses die Leiche eines Fischs, jenes die Leiche eines Vogels oder Schweines ist, ebenso, dass der Falerner der Saft einer Traube ist und das Purpurgewand die Wolle eines Schafes mit Blut einer Muschel benetzt.","Marc Aurel, Selbstbetrachtungen VI, 13"
"Der ist ein großer Schweinehund, // dem je der Sinn für Heine schwund.","Erich Mühsam, Schüttelreim, Zur Psychologie der Erbtante. Berlin: Eulenspiegel-Verlag, 1984. S. 20"
"Der Mensch ist dem Menschen kein Wolf, wie es bei den Lateinern heißt- der Mensch ist dem Menschen ein Schwein. Und das ist er offensichtlich gern.","Wiglaf Droste, Interview im Stadmagazin 37 aus Göttingen im Oktober 2006"
"Die Politik braucht unterschiedliche Typen: die Rampensau, den Nachdenklichen, den eher Bauchgesteuerten und hoffentlich auch den, der mit Augenmaß eine gerade Furche zieht.","Frank-Walter Steinmeier, Stern Nr. 31/2007 vom 26. Juli 2007, S. 44"
"Ich ging immer davon aus, die Leute sind zu dir so ehrlich, wie du zu ihnen bist. Ich musste erst lernen, dass man hauptsächlich mit Schweinehunden zu tun hat.","Günther Krause, Stern Nr. 24/2007 vom 6. Juni 2007, S. 182"
"Sensiblere Naturen als ich hätten sich jetzt wahrscheinlich mit dem Fön in die Badewanne gelegt. Was soll's. Morgen werden sie eine andere Sau durchs Dorf treiben.","Hape Kerkeling, Reaktion auf das Presseecho nach dem Outing als Homosexueller durch Rosa von Praunheim, zitiert nach Spiegel Special, 8/1996"
"Uns ist ganz kannibalisch wohl // Als wie fünfhundert Säuen!","Johann Wolfgang von Goethe, Faust I, Vers 2293 f. / Alle (lustigen Gesellen)'"
"Wie wichtig ist es doch, sich bei Delikatessen und ähnlichen Speisen vorzustellen, dass dieses die Leiche eines Fischs, jenes die Leiche eines Vogels oder Schweines ist, ebenso, dass der Falerner der Saft einer Traube ist und das Purpurgewand die Wolle eines Schafes mit Blut einer Muschel benetzt.","Marc Aurel, Selbstbetrachtungen VI, 13"
"Der ist ein großer Schweinehund, // dem je der Sinn für Heine schwund.","Erich Mühsam, Schüttelreim, Zur Psychologie der Erbtante. Berlin: Eulenspiegel-Verlag, 1984. S. 20"
"Der Mensch ist dem Menschen kein Wolf, wie es bei den Lateinern heißt- der Mensch ist dem Menschen ein Schwein. Und das ist er offensichtlich gern.","Wiglaf Droste, Interview im Stadmagazin 37 aus Göttingen im Oktober 2006"
"Die Politik braucht unterschiedliche Typen: die Rampensau, den Nachdenklichen, den eher Bauchgesteuerten und hoffentlich auch den, der mit Augenmaß eine gerade Furche zieht.","Frank-Walter Steinmeier, Stern Nr. 31/2007 vom 26. Juli 2007, S. 44"
"Ich ging immer davon aus, die Leute sind zu dir so ehrlich, wie du zu ihnen bist. Ich musste erst lernen, dass man hauptsächlich mit Schweinehunden zu tun hat.","Günther Krause, Stern Nr. 24/2007 vom 6. Juni 2007, S. 182"
"Sensiblere Naturen als ich hätten sich jetzt wahrscheinlich mit dem Fön in die Badewanne gelegt. Was soll's. Morgen werden sie eine andere Sau durchs Dorf treiben.","Hape Kerkeling, Reaktion auf das Presseecho nach dem Outing als Homosexueller durch Rosa von Praunheim, zitiert nach Spiegel Special, 8/1996"
"Der Magen einer Sau, die Gedanken einer Frau und der Inhalt einer Worscht bleiben ewig unerforscht.","Aus Deutschland"
"Der Mensch setzt Ruhm an wie das Schwein Fett.","Aus China"
"Die Schweine von heute sind die Schinken von morgen.","Aus Deutschland"
"Ein Schwein findet überall Dreck","Aus Russland"
"Gebt das Heilige nicht den Hunden und werft eure Perlen nicht den Schweinen vor, denn sie könnten sie mit ihren Füßen zertreten und sich umwenden und euch zerreißen.","Matthäus 7,6 EU"
