"quote","attribution"
"Das höchste Heil, das letzte liegt im Schwerdte! // Drück dir den Speer ins treue Herz hinein, // Der Freiheit eine Gasse! - Wasch' die Erde, // Dein deutsches Land mit deinem Blute rein!","Theodor Körner, Aufruf. 1813. Verse 6-9. In: Leyer und Schwerdt, Nicolai, Berlin 1814, S. 37, DTA"
"Es gibt nur etwas, das schlimmer ist als Ungerechtigkeit, und das ist Gerechtigkeit ohne Schwert in der Hand. Wenn Recht nicht Macht ist, ist es Übel.","Oscar Wilde, Der Kritiker als Künstler, Szene 2 / Gilbert"
"Wer das Schwert erhebt gegen das Volk, der wird durch das Schwert des Volkes umkommen.","Georg Büchner, Der Hessische Landbote, Erste Botschaft. Darmstadt, im Juli 1834. S. 8, vgl. Matthäus 26,52 EU"
"Zeig mir doch, was Mohammed Neues gebracht hat und da wirst du nur Schlechtes und Inhumanes finden wie dies, dass er vorgeschrieben hat, den Glauben, den er predigte, durch das Schwert zu verbreiten.","Manuel II., zitiert in einer Ansprache von Benedikt XVI. in der Aula Magna der Universität Regensburg, 12. September 2006, vatican.va"
"Zum lezten Mittel, wenn kein andres mehr // Verfangen will, ist ihm das Schwert gegeben","Friedrich Schiller, Wilhelm Tell, II, 2 / Stauffacher, in: Wilhelm Tell, Schauspiel von Schiller, J. G. Cotta'sche Buchhandlung, 1. Auflage, Tübingen 1804, S. 90"
"Das Schwert kennt keinen Unterschied zwischen dem Kopf des Schmiedes und anderen Köpfen.","Sprichwort der Yoruba"
"Die Feder ist mächtiger als das Schwert.","Aus England"
"Dann schmieden sie Pflugscharen aus ihren Schwertern und Winzermesser aus ihren Lanzen. Man zieht nicht mehr das Schwert, Volk gegen Volk, und übt nicht mehr für den Krieg.","Jesaja 2,4 EU"
"Das Wort Gottes ist lebendig und kräftig und schärfer als jedes zweischneidige Schwert und dringt durch, bis es scheidet Seele und Geist, auch Mark und Bein, und ist ein Richter der Gedanken und Sinne des Herzens.","Hebräer 4,12 LUT"
"Denkt nicht, ich sei gekommen, um Frieden auf die Erde zu bringen. Ich bin nicht gekommen, um Frieden zu bringen, sondern das Schwert.","Matthäus 10,34 EU"
"Die Frevler zücken das Schwert und spannen ihren Bogen; sie wollen den Schwachen und Armen fällen und alle hinschlachten, die den rechten Weg gehn.","Psalm 37,14 EU"
"Steck dein Schwert in die Scheide; denn alle, die zum Schwert greifen, werden durch das Schwert umkommen.","Matthäus 26,52 EU"
