"quote","attribution"
"Auch in Deutschland beginnt eine andere Auffassung des Naturschutzes sich durchzusetzen. Vorgeschrittene Geister haben das Nützlichkeitsprinzip als völlig ungenügend verworfen. Wir wollen z. B. einen Vogel nicht deshalb schützen, weil er vielleicht schädliche Insekten vertilgt, sondern wir wollen den Vogel schützen um das Vogels selbst willen, weil es in seiner Art ein herrliches Geschöpf ist, ein Dichtergedanke gewissermaßen der schaffenden Natur, weil ohne die anmutigen Bewegungen, die bunten Farben und die lieblichen Gesänge unserer Vögel unsere Wälder und Fluren unendlich öde, tot und traurig erscheinen würden.","Kurt Floericke, Umschau über die Naturschutzbewegung. In: Kosmos. Band 6, Nr. 4, 1909, S. 100.  -> Zitat im Textumfeld"
"Der Argwohn ist unter den Gedanken, was die Fledermäuse unter den Vögeln sind: sie flattern stets im Dämmerlicht.","Francis Bacon, Über den Argwohn"
"Geburt macht edel, behauptest du! Nur ein Zitat; // Die Tugend adelt mehr als das Geblüt, in der Tat. // Ohne Gelehrsamkeit und edle Taten, // bleibst du schutzlos wie ein Vogel in Not geraten. // Ob dein Vater vom Beruf Arzt oder große Heiliger, // was nutzt? Deine Räude bleibt deine Peiniger. // Nur Den Armseligen ist Beistand von Töten gerecht, // Adel gibt keine Tugend, Adel hat kein Erbrecht.","Nasser Chosrau, Divan"
"Ich singe wie der Vogel singt, der in den Zweigen wohnt.","Johann Wolfgang von Goethe, Der Sänger"
"Ich weiß jetzt, wenn man das Geheimnis hat, ein Vogel zu sein, kann man an zwei Orten gleichzeitig leben: hier und woanders.","Janosch, Das Geheimnis des Herrn Josef"
"Kein Vogel fliegt so himmelan, wie ein teures Herz es kann.","Mellin de Saint-Gelais, Quatrains, LXXXIV"
"Morgen werden die schwarzen Vögel kommen.","Jean-Paul Sartre, Les chemins de la liberté, Schlußsatz"
"Sogar wenn der Vogel geht, fühlt man, dass er Flügel hat.","Antoine-Marin Lemierre, Fragments du Poème des Fastes, Chant I: Invocation à la variété"
"Statt dass man uns geloben lässt, keusch zu bleiben, sollte man uns lieber zwingen, es zu sein, und alle Mönche zu Eunuchen machen. Solange ein Vogel seine Federn hat, fliegt er.","Voltaire, Die Briefe Amabeds (Pater Fa molto)"
"Wenn einer, der mit Mühe kaum // Gekrochen ist auf einen Baum, // Schon meint, daß er ein Vogel wär, // So irrt sich der.","Wilhelm Busch, Hernach: Der fliegende Frosch"
"Wer den rechten Augenblick verpasst, ist wie einer, der einen Vogel aus der Hand freigelassen hat; er wird ihn nicht wieder zurückbekommen.","Johannes vom Kreuz, Merksätze von Licht und Liebe"
"Wer keinen Vogel hat, kann auch keine originellen Ideen ausbrüten!","Gerhard Uhlenbruck, Nichtzutreffendes bitte streichen, Ralf Reglin Verlag Köln, 2. erweiterte Ausgabe: November 1996, S. 11, ISBN 3-930620-05-7"
"Wie sehe ich meinen Wald stehen? / Den habt ihr mir verwüstet / Und mein Wild umgebracht / Und meine Vögel verjagt. / Ich sage euch Fehde an.","Hartmann von Aue, Iwein / Quellwächter von Brocéliande"
"Wie wichtig ist es doch, sich bei Delikatessen und ähnlichen Speisen vorzustellen, dass dieses die Leiche eines Fischs, jenes die Leiche eines Vogels oder Schweines ist, ebenso, dass der Falerner der Saft einer Traube ist und das Purpurgewand die Wolle eines Schafes mit Blut einer Muschel benetzt.","Marc Aurel, Selbstbetrachtungen VI, 13"
"Wirkliche Autoren sind diejenigen, die in einer wirklichen Kunstform etwas geleistet haben, sei es im Epos oder in der Tragödie, sei es in der Komödie oder auch auf dem Gebiet der Geschichte oder der Philosophie, es sind diejenigen, die die Menschen belehrt oder erfreut haben. Die anderen von denen wir gesprochen haben, sind unter den Schriftstellern, was die Hornissen unter den Vögeln sind.","Voltaire, Philosophisches Wörterbuch"
"Dem gefrässigen Vogel platzt der Kropf.","Aus Venedig"
"Hätten nur die Katzen Flügel, wären Spatzen seltne Vögel.","Aus Serbien"
"Lieber ein Vogel in der Hand, als zehn in der Luft.","Aus den Niederlanden"
"Seht euch die Vögel des Himmels an: Sie säen nicht, sie ernten nicht und sammeln keine Vorräte in Scheunen; euer himmlischer Vater ernährt sie.","Matthäus 6,26 EU"
