"quote","attribution"
"Bietet man den Wein vielen Gästen an, geht er bald zu Ende.","Lü Bu We, Frühling und Herbst des Lü Bu We, S. 21"
"... dem einen fehlt der Wein, dem andern der Becher","Stefan Zweig, Drei Dichter ihres Lebens, Casanova, Kapitel 3"
"Der Dichter soll nicht ewig Wein // Nicht ewig Amorn necken! // Die Barden müssen Männer seyn // Und Weise seyn, nicht Gecken!","Matthias Claudius, Mein Neujahrslied. Aus: ASMUS omnia sua SECUM portans, oder Sämmtliche Werke des Wandsbecker Bothen, Erster und Zweyter Theil. Wandsbeck: beym Verfasser, 1774. S. 3"
"Der Rhein, // Und wär's nur um den Wein, // Der Rhein soll deutsch verbleiben.","Georg Herwegh, Rheinweinlied"
"Der Wein gibt Witz und stärkt den Magen.","Christoph Martin Wieland, Eine Anekdote aus dem Olymp"
"Der Wein ist mein Vergnügen! // Ich wollt, das ganze Meer // Wär Wein und ich ein Walfisch, // Der schwömme drüber her.","Georg Weerth, Der Wein ist mein Vergnügen! In: Sämtliche Werke in fünf Bänden, Band 1, Berlin 1956, S. 63, zeno.org"
"Der Wein und die Wahrheit sind sich nur insofern ähnlich, als man mit beiden anstößt.","Moritz Gottlieb Saphir, Nachtschatten"
"Der Wein wandelt den Maulwurf zum Adler.","Charles Baudelaire, Die künstlichen Paradiese (Les paradis artificiels), III. Kapitel. Übersetzt von Franz Blei und Heinrich Steinitzer. München: Müller, 1925. gutenberg.de "
"Die Erde wär' ein Jammertal // Voll Grillenfang und Gicht, // Wüch's uns zur Lindrung unsrer Qual // Der edle Rheinwein nicht.","Ludwig Christoph Heinrich Hölty, Trinklied, Beim Rheinwein"
"Die Freundschaft, die der Wein gemacht, wirkt wie der Wein, nur eine Nacht.","Friedrich von Logau, Wein-Freundschafft. Aus: Sämmtliche Sinngedichte, I,3,92. Hrsg. von Gustav Eitner, Tübingen 1872 (Bibliothek des literarischen Vereins in Stuttgart, Bd. CXIII). S. 77"
"Die Trunkenheit, die der schwere Rotwein herbeiführt, ist eine andere als die des Weißweins, nie eine bösartige, aggressive, sie äußert sich selten in Sprachhemmungen oder in unsicherem Gang. Im Gegenteil, die Trinker neigen zwar zur Akrobatik, steigen auf Stuhllehnen, klettern auf den Tisch, schwingen den Lüster hin und her, aber das wie im Übermut, denn vor allem ist ihre Phantasie beflügelt.","Friedrich Dürrenmatt, Aus den Vorbemerkungen von: Die Panne. Ein Hörspiel und eine Komödie (Diogenes Taschenbuch 23056), Zürich 1998, S.62."
"Ein echter deutscher Mann mag keinen Franzen (Franzosen) leiden, // Doch ihre Weine trinkt er gern.","Johann Wolfgang von Goethe, Faust I, Vers 2272 f. / Brander"
"Es wird gewiss in England des Jahres noch einmal so viel Portwein getrunken, als in Portugal wächst.","Georg Christoph Lichtenberg, Sudelbücher, Heft J (151)"
"Einfach gelobt sei der Wein, doppelt gelobt das Bier. // Doppeltheit ist gut, Einfachheit das Beste.","John Owen, Epigramme 6, 68"
"Ein Leben wie im Paradies // Gewährt uns Vater Rhein; // Ich geb es zu, ein Kuss ist süß, // Doch süßer ist der Wein.","Ludwig Christoph Heinrich Hölty, Trinklied"
"Geld! Eine Flasche Wein und eine gute Zigarre, das ist alles, was der Mensch braucht. Auf alles andere kann er pfeifen.","Bernhard Kellermann, Das häßliche Mädchen. Berlin: Volk und Welt, 1979. S. 23"
"Ich weiß, sie tranken heimlich Wein // Und predigten öffentlich Wasser.","Heinrich Heine, Deutschland, Ein Wintermärchen"
"Jugend ist Trunkenheit ohne Wein.","Johann Wolfgang von Goethe, West-östlicher Divan"
"Mir ist es piepegal, ob Salz, Butter, Wein oder Frauen schlecht für mich sind; das Leben ist eine unheilbare Krankheit.","George Tabori, Betrachtungen über das Feigenblatt, Gustav Kiepenheuer Bühnenvertriebs GmbH"
"Ob der Koran von Ewigkeit sei? // Darnach frag ich nicht! // Ob der Koran geschaffen sei? // Das weiß ich nicht! // Daß er das Buch der Bücher sei // Glaub ich aus Mosleminen-Pflicht. // Daß aber der Wein von Ewigkeit sei // Daran zweifl ich nicht; // Oder daß er vor den Engeln geschaffen sei // Ist vielleicht auch kein Gedicht. // Der Trinkende, wie es auch immer sei // Blickt Gott frischer ins Angesicht.","Johann Wolfgang von Goethe, West-östlicher Divan. Saki Nameh. Das Schenkenbuch. in: Goethe's sämmtliche Werke Band 4. F. W. Thomas, 1856. S. 314 Google Books"
"Rotwein ist für alte Knaben // eine von den besten Gaben.","Wilhelm Busch, Abenteuer eines Junggesellen / Rektor Debisch"
"Sei bei mir, in Maßen zwar, doch verlasse mich nicht.","Euripides über den Wein, gemäß Plutarch, Moralia"
"Trink mir nur mit den Augen zu, // mein Blick tut dir Bescheid; // und bleibt ein Kuß für mich im Glas, // den Wein ich gerne meid'.","Ben Jonson, An Celia"
"Töne, frohe Leier, // Töne Lust und Wein! // Töne, sanfte Leier, // Töne Liebe drein!","Gotthold Ephraim Lessing, An die Leier"
